iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
61,2.2845979,5.248433589935303,0.5031375288963318,3,150,10,500,10,0.0,10,False,0.01,30,1500
62,2.175815,5.0750041007995605,0.484491229057312,3,150,10,500,10,0.0,10,False,0.01,30,1500
63,2.074819,4.879824638366699,0.46356287598609924,3,150,10,500,10,0.0,10,False,0.01,30,1500
64,1.9784353,4.70462703704834,0.4448772668838501,3,150,10,500,10,0.0,10,False,0.01,30,1500
65,1.8896718,4.543277740478516,0.4275950789451599,3,150,10,500,10,0.0,10,False,0.01,30,1500
66,1.8070937,4.381629943847656,0.4100009799003601,3,150,10,500,10,0.0,10,False,0.01,30,1500
67,1.7275549,4.233694553375244,0.394046425819397,3,150,10,500,10,0.0,10,False,0.01,30,1500
68,1.6518756,4.089442253112793,0.378241628408432,3,150,10,500,10,0.0,10,False,0.01,30,1500
69,1.5794675,3.955597400665283,0.3636859357357025,3,150,10,500,10,0.0,10,False,0.01,30,1500
70,1.512477,3.8394739627838135,0.35081207752227783,3,150,10,500,10,0.0,10,False,0.01,30,1500
71,1.4511048,3.711249589920044,0.3369227349758148,3,150,10,500,10,0.0,10,False,0.01,30,1500
72,1.390535,3.5983827114105225,0.3246254622936249,3,150,10,500,10,0.0,10,False,0.01,30,1500
73,1.334895,3.4954631328582764,0.31328603625297546,3,150,10,500,10,0.0,10,False,0.01,30,1500
74,1.2815493,3.380370855331421,0.3006981611251831,3,150,10,500,10,0.0,10,False,0.01,30,1500
75,1.2317289,3.2807300090789795,0.28979530930519104,3,150,10,500,10,0.0,10,False,0.01,30,1500
76,1.1850805,3.185750722885132,0.2792671322822571,3,150,10,500,10,0.0,10,False,0.01,30,1500
77,1.1407839,3.1078474521636963,0.2705523371696472,3,150,10,500,10,0.0,10,False,0.01,30,1500
78,1.099891,3.011960029602051,0.2600764334201813,3,150,10,500,10,0.0,10,False,0.01,30,1500
79,1.0606295,2.941173553466797,0.25187721848487854,3,150,10,500,10,0.0,10,False,0.01,30,1500
80,1.022583,2.8558309078216553,0.24234935641288757,3,150,10,500,10,0.0,10,False,0.01,30,1500
81,0.98753303,2.785392999649048,0.23449933528900146,3,150,10,500,10,0.0,10,False,0.01,30,1500
82,0.9542396,2.7099194526672363,0.22604642808437347,3,150,10,500,10,0.0,10,False,0.01,30,1500
83,0.9230754,2.659156560897827,0.21994464099407196,3,150,10,500,10,0.0,10,False,0.01,30,1500
84,0.89367515,2.5891895294189453,0.21222932636737823,3,150,10,500,10,0.0,10,False,0.01,30,1500
85,0.86489034,2.5291130542755127,0.2055705189704895,3,150,10,500,10,0.0,10,False,0.01,30,1500
86,0.8379442,2.4711780548095703,0.19921109080314636,3,150,10,500,10,0.0,10,False,0.01,30,1500
87,0.8123468,2.4229137897491455,0.1935552954673767,3,150,10,500,10,0.0,10,False,0.01,30,1500
88,0.7892697,2.3801109790802,0.1881868839263916,3,150,10,500,10,0.0,10,False,0.01,30,1500
89,0.766316,2.326667547225952,0.18204611539840698,3,150,10,500,10,0.0,10,False,0.01,30,1500
90,0.74470794,2.278960943222046,0.17671020328998566,3,150,10,500,10,0.0,10,False,0.01,30,1500
91,0.72340953,2.2250638008117676,0.17059068381786346,3,150,10,500,10,0.0,10,False,0.01,30,1500
92,0.703721,2.2044243812561035,0.16800040006637573,3,150,10,500,10,0.0,10,False,0.01,30,1500
93,0.6852452,2.162008762359619,0.163034126162529,3,150,10,500,10,0.0,10,False,0.01,30,1500
94,0.6677016,2.1248667240142822,0.15864413976669312,3,150,10,500,10,0.0,10,False,0.01,30,1500
95,0.65122545,2.0767662525177,0.1532725691795349,3,150,10,500,10,0.0,10,False,0.01,30,1500
96,0.63495827,2.0451693534851074,0.1496179848909378,3,150,10,500,10,0.0,10,False,0.01,30,1500
97,0.6201644,2.016204357147217,0.14619894325733185,3,150,10,500,10,0.0,10,False,0.01,30,1500
98,0.6053311,1.9863364696502686,0.1427597999572754,3,150,10,500,10,0.0,10,False,0.01,30,1500
99,0.5917751,1.9567761421203613,0.1392226368188858,3,150,10,500,10,0.0,10,False,0.01,30,1500
100,0.5789747,1.9319342374801636,0.136130228638649,3,150,10,500,10,0.0,10,False,0.01,30,1500
101,0.56647265,1.921217679977417,0.13474752008914948,3,150,10,500,10,0.0,10,False,0.01,30,1500
102,0.55536705,1.9027525186538696,0.1323012262582779,3,150,10,500,10,0.0,10,False,0.01,30,1500
