iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.1049934824307759,0.2982916533946991,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.2586590399344762,0.38820838928222656,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.450392475972573,0.38745832443237305,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,1.0089067878822486,0.4060417115688324,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.3006305633268009,0.4242500066757202,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.24304370333751044,0.4463750123977661,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.49896807114904124,0.44358333945274353,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.08683961497930189,0.4708333909511566,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.17069368110969663,0.47395843267440796,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.04111250940089425,0.49300000071525574,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,1.3018144923262298,0.4808332920074463,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.49179072158100706,0.4854999780654907,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.01433093415107578,0.5087917447090149,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.013975205210347971,0.5107917189598083,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.017196178979550798,0.5105833411216736,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.01102576672565192,0.515166699886322,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.009239575359970331,0.5167500376701355,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.009233613323885947,0.5164166688919067,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.008549902219480524,0.5188750624656677,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.008343478722963482,0.5195416808128357,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.007546466270772119,0.5205000042915344,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.008460084306231389,0.517958402633667,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.007231559662614018,0.5204583406448364,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.007092645372419308,0.5216251015663147,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.0072099580041443305,0.5204166769981384,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.006678593830050279,0.5214166641235352,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.005823595313510547,0.5233750343322754,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.005890760861802846,0.5219584107398987,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.0054491264939618604,0.5223749876022339,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.005352790933102369,0.5236666798591614,24,8,500,1000,0.0,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
