iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
61,2.2629516,5.193687438964844,0.49577271938323975,3,150,10,500,10,0.01,10,False,0.01,30,1500
62,2.1564798,4.997454643249512,0.47482922673225403,3,150,10,500,10,0.01,10,False,0.01,30,1500
63,2.05596,4.8113813400268555,0.4550013244152069,3,150,10,500,10,0.01,10,False,0.01,30,1500
64,1.9604264,4.659566879272461,0.43873170018196106,3,150,10,500,10,0.01,10,False,0.01,30,1500
65,1.8737488,4.5008931159973145,0.4216524660587311,3,150,10,500,10,0.01,10,False,0.01,30,1500
66,1.7925718,4.331402778625488,0.4035402834415436,3,150,10,500,10,0.01,10,False,0.01,30,1500
67,1.712916,4.1785359382629395,0.38692763447761536,3,150,10,500,10,0.01,10,False,0.01,30,1500
68,1.6391943,4.058684825897217,0.3736991584300995,3,150,10,500,10,0.01,10,False,0.01,30,1500
69,1.5680099,3.9183571338653564,0.3584636151790619,3,150,10,500,10,0.01,10,False,0.01,30,1500
70,1.501418,3.8009700775146484,0.34565991163253784,3,150,10,500,10,0.01,10,False,0.01,30,1500
71,1.4395168,3.6920430660247803,0.33363842964172363,3,150,10,500,10,0.01,10,False,0.01,30,1500
72,1.379286,3.574927568435669,0.32103776931762695,3,150,10,500,10,0.01,10,False,0.01,30,1500
73,1.3231987,3.4636833667755127,0.30875974893569946,3,150,10,500,10,0.01,10,False,0.01,30,1500
74,1.2695327,3.356123685836792,0.29689475893974304,3,150,10,500,10,0.01,10,False,0.01,30,1500
75,1.220494,3.258429527282715,0.28619542717933655,3,150,10,500,10,0.01,10,False,0.01,30,1500
76,1.1718609,3.170687437057495,0.27629315853118896,3,150,10,500,10,0.01,10,False,0.01,30,1500
77,1.1281832,3.083157539367676,0.2666459381580353,3,150,10,500,10,0.01,10,False,0.01,30,1500
78,1.086501,3.0040297508239746,0.2579123377799988,3,150,10,500,10,0.01,10,False,0.01,30,1500
79,1.0467553,2.912445306777954,0.24788960814476013,3,150,10,500,10,0.01,10,False,0.01,30,1500
80,1.010251,2.8299553394317627,0.2388465702533722,3,150,10,500,10,0.01,10,False,0.01,30,1500
81,0.97514814,2.7569358348846436,0.23065392673015594,3,150,10,500,10,0.01,10,False,0.01,30,1500
82,0.9419161,2.6872246265411377,0.22272101044654846,3,150,10,500,10,0.01,10,False,0.01,30,1500
83,0.9107882,2.6146929264068604,0.21469688415527344,3,150,10,500,10,0.01,10,False,0.01,30,1500
84,0.88181204,2.5442752838134766,0.2066679745912552,3,150,10,500,10,0.01,10,False,0.01,30,1500
85,0.8536073,2.4964609146118164,0.2012825757265091,3,150,10,500,10,0.01,10,False,0.01,30,1500
86,0.82781,2.4365689754486084,0.19447799026966095,3,150,10,500,10,0.01,10,False,0.01,30,1500
87,0.8018155,2.3918020725250244,0.18928132951259613,3,150,10,500,10,0.01,10,False,0.01,30,1500
88,0.77908164,2.348097085952759,0.18421399593353271,3,150,10,500,10,0.01,10,False,0.01,30,1500
89,0.7567386,2.296947479248047,0.17844007909297943,3,150,10,500,10,0.01,10,False,0.01,30,1500
90,0.73502856,2.2538130283355713,0.17333243787288666,3,150,10,500,10,0.01,10,False,0.01,30,1500
91,0.7140955,2.2101969718933105,0.16840516030788422,3,150,10,500,10,0.01,10,False,0.01,30,1500
92,0.6950789,2.1746439933776855,0.16411948204040527,3,150,10,500,10,0.01,10,False,0.01,30,1500
93,0.6772921,2.1263175010681152,0.15869967639446259,3,150,10,500,10,0.01,10,False,0.01,30,1500
94,0.66043603,2.0836219787597656,0.1538100242614746,3,150,10,500,10,0.01,10,False,0.01,30,1500
95,0.64404285,2.0445597171783447,0.14938803017139435,3,150,10,500,10,0.01,10,False,0.01,30,1500
96,0.62845093,2.012451410293579,0.14561821520328522,3,150,10,500,10,0.01,10,False,0.01,30,1500
97,0.61385363,1.9881633520126343,0.14282849431037903,3,150,10,500,10,0.01,10,False,0.01,30,1500
98,0.59980416,1.9678760766983032,0.14041951298713684,3,150,10,500,10,0.01,10,False,0.01,30,1500
99,0.5865648,1.9475667476654053,0.13792859017848969,3,150,10,500,10,0.01,10,False,0.01,30,1500
100,0.5742361,1.9160915613174438,0.13427744805812836,3,150,10,500,10,0.01,10,False,0.01,30,1500
101,0.5624725,1.8925909996032715,0.13132484257221222,3,150,10,500,10,0.01,10,False,0.01,30,1500
102,0.5510716,1.8780531883239746,0.1292835921049118,3,150,10,500,10,0.01,10,False,0.01,30,1500
103,0.5399151,1.8633325099945068,0.12723076343536377,3,150,10,500,10,0.01,10,False,0.01,30,1500
104,0.5296156,1.8474390506744385,0.1251269429922104,3,150,10,500,10,0.01,10,False,0.01,30,1500
105,0.51938504,1.8269295692443848,0.12255911529064178,3,150,10,500,10,0.01,10,False,0.01,30,1500
106,0.51033074,1.8178929090499878,0.1211678758263588,3,150,10,500,10,0.01,10,False,0.01,30,1500
107,0.50105023,1.7967735528945923,0.11863873153924942,3,150,10,500,10,0.01,10,False,0.01,30,1500
108,0.49245596,1.7772849798202515,0.11616258323192596,3,150,10,500,10,0.01,10,False,0.01,30,1500
109,0.48439226,1.7715882062911987,0.11524605005979538,3,150,10,500,10,0.01,10,False,0.01,30,1500
110,0.47578958,1.7560231685638428,0.11325232684612274,3,150,10,500,10,0.01,10,False,0.01,30,1500
111,0.46818656,1.7406710386276245,0.11148911714553833,3,150,10,500,10,0.01,10,False,0.01,30,1500
112,0.46095887,1.7368080615997314,0.11055888235569,3,150,10,500,10,0.01,10,False,0.01,30,1500
113,0.45395172,1.7240755558013916,0.10902482271194458,3,150,10,500,10,0.01,10,False,0.01,30,1500
114,0.44735545,1.715444564819336,0.10795962065458298,3,150,10,500,10,0.01,10,False,0.01,30,1500
115,0.44088918,1.6962263584136963,0.10574173927307129,3,150,10,500,10,0.01,10,False,0.01,30,1500
116,0.43457845,1.6822484731674194,0.10388980805873871,3,150,10,500,10,0.01,10,False,0.01,30,1500
117,0.42762074,1.673887014389038,0.10285326838493347,3,150,10,500,10,0.01,10,False,0.01,30,1500
118,0.4218253,1.6793707609176636,0.10310519486665726,3,150,10,500,10,0.01,10,False,0.01,30,1500
119,0.41634512,1.66553795337677,0.10139503329992294,3,150,10,500,10,0.01,10,False,0.01,30,1500
120,0.41099736,1.6678466796875,0.10140936821699142,3,150,10,500,10,0.01,10,False,0.01,30,1500
121,0.40613535,1.6608223915100098,0.1001627966761589,3,150,10,500,10,0.01,10,False,0.01,30,1500
122,0.40175945,1.6464096307754517,0.0984448790550232,3,150,10,500,10,0.01,10,False,0.01,30,1500
123,0.3974402,1.6264256238937378,0.0961308553814888,3,150,10,500,10,0.01,10,False,0.01,30,1500
124,0.39314523,1.6265195608139038,0.09601666033267975,3,150,10,500,10,0.01,10,False,0.01,30,1500
125,0.3888752,1.6175432205200195,0.09480728209018707,3,150,10,500,10,0.01,10,False,0.01,30,1500
126,0.3846276,1.6145691871643066,0.09418711066246033,3,150,10,500,10,0.01,10,False,0.01,30,1500
127,0.38075733,1.6098307371139526,0.09337954968214035,3,150,10,500,10,0.01,10,False,0.01,30,1500
128,0.37707573,1.6060683727264404,0.09285004436969757,3,150,10,500,10,0.01,10,False,0.01,30,1500
129,0.37308618,1.5949878692626953,0.09141911566257477,3,150,10,500,10,0.01,10,False,0.01,30,1500
130,0.36909506,1.591602087020874,0.09087647497653961,3,150,10,500,10,0.01,10,False,0.01,30,1500
131,0.36557016,1.5823450088500977,0.08961421251296997,3,150,10,500,10,0.01,10,False,0.01,30,1500
132,0.36212006,1.5706042051315308,0.08826737850904465,3,150,10,500,10,0.01,10,False,0.01,30,1500
133,0.35920775,1.568727731704712,0.08803215622901917,3,150,10,500,10,0.01,10,False,0.01,30,1500
134,0.35620335,1.5637524127960205,0.08748994022607803,3,150,10,500,10,0.01,10,False,0.01,30,1500
135,0.35333002,1.5601633787155151,0.08687151968479156,3,150,10,500,10,0.01,10,False,0.01,30,1500
136,0.35099193,1.5600248575210571,0.08676477521657944,3,150,10,500,10,0.01,10,False,0.01,30,1500
137,0.34823593,1.570904016494751,0.08773685991764069,3,150,10,500,10,0.01,10,False,0.01,30,1500
138,0.3449348,1.578185796737671,0.08862770348787308,3,150,10,500,10,0.01,10,False,0.01,30,1500
139,0.34219438,1.58053457736969,0.0886596292257309,3,150,10,500,10,0.01,10,False,0.01,30,1500
140,0.33969092,1.5860445499420166,0.08924978971481323,3,150,10,500,10,0.01,10,False,0.01,30,1500
141,0.33751306,1.5795235633850098,0.08831802010536194,3,150,10,500,10,0.01,10,False,0.01,30,1500
142,0.33493358,1.5782575607299805,0.0881110280752182,3,150,10,500,10,0.01,10,False,0.01,30,1500
143,0.3331546,1.5655286312103271,0.08664100617170334,3,150,10,500,10,0.01,10,False,0.01,30,1500
144,0.33096802,1.562699317932129,0.08626478165388107,3,150,10,500,10,0.01,10,False,0.01,30,1500
145,0.3288601,1.5525612831115723,0.08507312089204788,3,150,10,500,10,0.01,10,False,0.01,30,1500
146,0.32686368,1.545619010925293,0.08432768285274506,3,150,10,500,10,0.01,10,False,0.01,30,1500
