iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9782614757617314,0.2668333351612091,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6195431003967922,0.3762916922569275,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6701994289954503,0.35983335971832275,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.4411765535672505,0.4214584231376648,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.3748602171738942,0.4332917332649231,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.546033889055252,0.40770837664604187,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.5108403066794078,0.41470837593078613,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.4405615453918774,0.42391669750213623,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.3703682621320088,0.4306666851043701,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.301275409758091,0.4361667037010193,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.2629742970069249,0.43408334255218506,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1798201749722164,0.44604167342185974,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.131720560292403,0.44845837354660034,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0666417703032494,0.4527917504310608,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.030241956313451,0.45374998450279236,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.9862129266063372,0.4564583897590637,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.925836498538653,0.4610000550746918,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8983995169401169,0.46033334732055664,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.869110273818175,0.4636666774749756,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8243269994854927,0.46233341097831726,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7896368006865183,0.4646666944026947,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7516666799783707,0.46566665172576904,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7218684603770574,0.4670834243297577,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6899307072162628,0.4672083854675293,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6556594036519527,0.47154173254966736,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6404951810836792,0.4687916934490204,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.6087947264313698,0.47033339738845825,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5830898309747378,0.47191673517227173,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5656064624587694,0.4698333740234375,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5319642176230749,0.47416672110557556,24,4,500,1000,5,8,"(3, 32, 32)",10,0.03,0.99,30,10
