iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.926021973292033,0.30366671085357666,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6868989765644073,0.3592500388622284,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.5610472162564595,0.3979167342185974,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.4261950304110844,0.42625004053115845,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.339954137802124,0.44158339500427246,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.2836895833412807,0.4466667175292969,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.1531181707978249,0.4757500886917114,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.0891319712003071,0.48333340883255005,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.0199895004431407,0.49112504720687866,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
9,0.9734217673540115,0.49654170870780945,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.4917367920279503,0.4176667332649231,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.3893905753890674,0.42916664481163025,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.3111475681265194,0.4381667375564575,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.25077369560798,0.44316667318344116,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.1847347890337308,0.4504167437553406,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.1170115023851395,0.45375001430511475,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
16,1.0776742820938428,0.45712506771087646,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
17,1.0179868762691815,0.4598333537578583,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.960637296239535,0.4620417058467865,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.9213341946403185,0.46604177355766296,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.8846082364519438,0.4644584357738495,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.831177386144797,0.4698750376701355,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.800990529358387,0.4698750674724579,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7671667734781901,0.47166669368743896,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.7337689660489559,0.47212502360343933,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6994397478799025,0.4727500081062317,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.6759631074965,0.4724583029747009,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.643394069125255,0.47329169511795044,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.6106795246402422,0.47433337569236755,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5872767207523187,0.47504162788391113,24,4,500,1000,10,9,"(3, 32, 32)",10,0.03,0.99,30,10
