iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.914667323231697,0.2851666808128357,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6663482735554378,0.37154167890548706,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.542260318994522,0.4019166827201843,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.442129522562027,0.4247499704360962,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.337281122803688,0.4442916810512543,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.2597456524769466,0.455750048160553,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.149967352549235,0.4768333435058594,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.0748247082034748,0.4895833432674408,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.033565839131673,0.4930416941642761,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
9,0.968215823173523,0.5017083883285522,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.9128430287043253,0.5090000629425049,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.862977330883344,0.514750063419342,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.8201974729696909,0.5162500143051147,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.7754541436831156,0.5220833420753479,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.7430265893538793,0.5234999656677246,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.7163141270478567,0.5248750448226929,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.6782832567890485,0.5296250581741333,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.6384416073560715,0.5280417203903198,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.6089347253243128,0.5321249961853027,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.5766888024906317,0.5335000157356262,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
20,1.408368704219659,0.4267083406448364,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
21,1.2937563533584278,0.4412083625793457,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
22,1.1669498880704243,0.452583372592926,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
23,1.0998686105012894,0.4607500731945038,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
24,1.0199723318219185,0.4640415906906128,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.9663874817391237,0.46929168701171875,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.9093284656604131,0.4742499589920044,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.8636122730871042,0.4740000367164612,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.8189995562036833,0.4750000238418579,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.7702266275882721,0.479083389043808,24,4,500,1000,20,11,"(3, 32, 32)",10,0.03,0.99,30,10
