iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9729474832614262,0.28075000643730164,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7835233807563782,0.335625022649765,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6492732067902882,0.3657500445842743,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.5456940084695816,0.3827083706855774,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.520400623480479,0.3876666724681854,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.4155308306217194,0.39774996042251587,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.3744092832008998,0.40170833468437195,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.2868245045344036,0.41050004959106445,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.236086184779803,0.4137500524520874,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.1779146641492844,0.4205000400543213,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.144059384862582,0.41950005292892456,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1002310986320178,0.42087501287460327,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0415175209442775,0.4257083833217621,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.986526240905126,0.4297083616256714,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.953071100016435,0.43262505531311035,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.906269833445549,0.43300002813339233,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.8745675310492516,0.4342500865459442,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8489982013901075,0.4336667060852051,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8210728367169698,0.43429169058799744,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.7779361382126808,0.4374583959579468,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.749802383283774,0.4400833547115326,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7136455674966177,0.4409584403038025,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.6921337693929672,0.440041720867157,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6581843122839928,0.44058334827423096,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6322061195969582,0.4413332939147949,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6100834459066391,0.4427500367164612,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.5869843326508999,0.44225001335144043,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5572961705426375,0.4428333640098572,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.539810466269652,0.4425416886806488,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5153636261820793,0.44379180669784546,24,24,500,1000,0.0,15,"(3, 32, 32)",10,0.03,0.99,30,10
