iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.95625834663709,0.2890416979789734,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6493933995564778,0.37166666984558105,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.5937190701564152,0.38891667127609253,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.4788778970638912,0.41570836305618286,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.4175055921077728,0.42504164576530457,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.284568543235461,0.4544166326522827,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.2238800823688507,0.46133336424827576,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.119649698336919,0.47812503576278687,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.044800025721391,0.487000048160553,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.0141750151912372,0.49004167318344116,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.9540205945571264,0.49816668033599854,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.9058096582690874,0.5010416507720947,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.8810161997874578,0.5013750195503235,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.8288147846857706,0.5093750357627869,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.7864870776732763,0.5123751163482666,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.7446396748224894,0.5165001153945923,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.7234228849411011,0.514541745185852,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.6835009083151817,0.518833339214325,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.6469299544890722,0.5221666693687439,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.6160190949837366,0.5235416293144226,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,1.4865607519944508,0.4205417037010193,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,1.3550740679105122,0.4318750500679016,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,1.2452431718508403,0.44062507152557373,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,1.1696543022990227,0.44541674852371216,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,1.0825652107596397,0.4518333375453949,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,1.0105905793607235,0.455458402633667,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.966503077497085,0.46008336544036865,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.9187510721385479,0.4623333811759949,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.8686618668337663,0.4645000100135803,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.8216342404484749,0.465999960899353,24,4,500,1000,20,19,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
