iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.938072383403778,0.29716670513153076,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6036682029565175,0.3813333213329315,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.540327583750089,0.3955833315849304,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.3691718876361847,0.4375000596046448,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.3233215312163036,0.45129165053367615,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.2127811064322789,0.46270832419395447,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.1064466858903568,0.4895417094230652,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.057363584637642,0.4960000514984131,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,0.9965382367372513,0.5042500495910645,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,0.9347332268953323,0.5112500190734863,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.551055205365022,0.41983336210250854,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.4235546737909317,0.43949997425079346,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.3129826039075851,0.45087510347366333,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,1.2540541216731071,0.4555417001247406,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,1.1917675758401554,0.46087509393692017,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,1.1198791613181431,0.4660000205039978,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,1.067180226246516,0.471416711807251,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,1.0113045175870259,0.4742083251476288,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.9782814507683119,0.47337496280670166,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.9259142875671387,0.4792916774749756,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.8726656759778658,0.4827083945274353,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.8400956615805626,0.48045843839645386,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.7983789841334025,0.4838750958442688,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.7619991501172384,0.4850417375564575,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.7262391845385233,0.48616671562194824,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.7045758229990801,0.4883333146572113,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.6703488988180956,0.48766669631004333,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.6428388804197311,0.48491665720939636,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.6105376568933328,0.48875007033348083,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.5842787312964598,0.4889167249202728,24,4,500,1000,10,17,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
