iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.938064381480217,0.2785416841506958,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6448287467161815,0.37133336067199707,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.5975532333056133,0.3738333582878113,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.4467797130346298,0.4133750796318054,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.3444542636473973,0.43504172563552856,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.5816492438316345,0.39637503027915955,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.485806534687678,0.41854172945022583,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.427240863442421,0.42149996757507324,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.337680806716283,0.43566665053367615,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.2556872194012005,0.4422083795070648,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.1891030768553417,0.45079168677330017,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.1297679791847866,0.45604169368743896,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0861850927273433,0.4587499797344208,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,1.023280570904414,0.4647916555404663,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.9966034665703773,0.4595833718776703,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.9496967792510986,0.46437501907348633,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.9103784114122391,0.46670836210250854,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.8620521749059359,0.46804165840148926,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.8191915601491928,0.4710000455379486,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.7962489724159241,0.46941661834716797,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.7466020037730535,0.4715000092983246,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.7186363612612089,0.4729999303817749,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.689317430059115,0.47270840406417847,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.6620061062276363,0.47429174184799194,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.6326745512584845,0.47712504863739014,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.6061452639599642,0.4756666421890259,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.577682614326477,0.4750417470932007,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.5570449406901995,0.4753749966621399,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.5212812572717667,0.47841665148735046,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.5082695210973421,0.4763333797454834,24,4,500,1000,5,16,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
