iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.977601687113444,0.26737505197525024,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7568570723136265,0.34679174423217773,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.7464600056409836,0.35362499952316284,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.6355943431456883,0.37275004386901855,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.6099669237931569,0.37787503004074097,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.4877956459919612,0.3983750343322754,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.4664019048213959,0.40004175901412964,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.3783562282721202,0.4102083444595337,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.3299705336491268,0.41333335638046265,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.2676960428555806,0.4191666841506958,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.1958379248778026,0.4269167184829712,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1764794290065765,0.4269166886806488,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.1193251262108486,0.4331667125225067,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0768119643131893,0.4325833320617676,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.044750268260638,0.43570834398269653,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.018407275279363,0.43549999594688416,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.9569960733254751,0.43950003385543823,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.9470780665675799,0.43941670656204224,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8965702181061109,0.4398333728313446,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8570059686899185,0.4449583888053894,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.8343056738376617,0.44029173254966736,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7894963671763738,0.445166677236557,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7642149676879247,0.4435833692550659,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7428157702088356,0.44712504744529724,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.7234731689095497,0.4432083070278168,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6811455910404524,0.44612500071525574,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.6544514372944832,0.44841668009757996,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.6353076634307703,0.4477500319480896,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.6227833554148674,0.4464583992958069,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5872563160955906,0.4483749568462372,24,24,500,1000,0.0,11,"(3, 32, 32)",10,0.03,0.99,30,10
