iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,9.967066224217415,5.246772766113281,9.886489868164062,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
1,7.998015615642071,4.311086654663086,8.084188461303711,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
2,6.405989918957154,3.56036376953125,6.654320240020752,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
3,5.211607615053654,2.9731197357177734,5.543949127197266,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
4,4.203240629971648,2.46117901802063,4.575949192047119,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
5,3.4591635447907416,2.0757896900177,3.8509786128997803,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
6,2.861625644643791,1.7582316398620605,3.253235340118408,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
7,2.3746363015686316,1.4907612800598145,2.751922607421875,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
8,1.9988311766018159,1.2832224369049072,2.3669111728668213,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
9,1.690212690202364,1.106040120124817,2.0378029346466064,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
10,1.4157845548051409,0.9401304125785828,1.7306362390518188,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
11,1.1797555179789196,0.7985228896141052,1.469452142715454,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
12,1.008485991966445,0.6919319033622742,1.2736302614212036,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
13,0.8650246609739649,0.6006574034690857,1.1071362495422363,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
14,0.7506044222228229,0.5289563536643982,0.9760405421257019,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
15,0.6488947059730223,0.4619060456752777,0.8541364669799805,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
16,0.5612414546058668,0.4060285985469818,0.7520727515220642,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
17,0.4856628393637948,0.35641440749168396,0.6609180569648743,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
18,0.41824251744585733,0.3096615970134735,0.5757627487182617,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
19,0.36495006489839094,0.2716173827648163,0.5062726736068726,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
20,0.31900758989776173,0.23915106058120728,0.4464099109172821,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
21,0.2801390558927475,0.21145911514759064,0.3960621953010559,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
22,0.25052733526351706,0.18829232454299927,0.3537353277206421,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
23,0.2208911482685168,0.16728481650352478,0.3153930604457855,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
24,0.19492086637978598,0.1472739428281784,0.27862754464149475,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
25,0.1710700438291921,0.1304219663143158,0.24774499237537384,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
26,0.15381844076512305,0.11800042539834976,0.2249922752380371,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
27,0.14106422166039315,0.10891829431056976,0.20866678655147552,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
28,0.1258210111768373,0.09803791344165802,0.18876464664936066,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
29,0.11049368282183422,0.08612233400344849,0.16685526072978973,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
30,0.10018034845095826,0.07758967578411102,0.15128998458385468,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
31,0.0897629208380143,0.06973613798618317,0.13710297644138336,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
32,0.08358642029949502,0.06475833058357239,0.12840145826339722,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
33,0.07837690622118923,0.060178905725479126,0.12033539265394211,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
34,0.07171272984240204,0.05416472256183624,0.10930013656616211,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
35,0.06455169001516575,0.048248291015625,0.09852773696184158,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
36,0.059283045682823284,0.04353633522987366,0.08995462208986282,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
37,0.05576961659593507,0.04033651202917099,0.08405807614326477,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
