iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.760286208242178,0.3409374952316284,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.381223613396287,0.4412187337875366,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.2648573713377118,0.4699063003063202,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.162384869530797,0.4777812957763672,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.1682597361505032,0.4893125593662262,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.0857181404717267,0.4966563284397125,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.0804641447030008,0.501156210899353,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.020583035191521,0.5030937790870667,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0015045588370413,0.5036875605583191,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,1.0158209850196727,0.5067187547683716,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.6496048359549604,0.5216250419616699,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.5358113292022608,0.5420937538146973,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.4933844352781307,0.5462499856948853,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.46083112663473,0.5486562848091125,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.403608482592972,0.5582812428474426,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.37169842926959973,0.5619687438011169,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.35137272579595447,0.5644688010215759,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.32287943953997456,0.5656250715255737,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.30276083514036145,0.5667500495910645,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.28557730188185815,0.5675312876701355,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.2656800094700884,0.5699688196182251,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.2481161937030265,0.5719375014305115,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.23268585184996482,0.5733750462532043,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.2201904374815058,0.572812557220459,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.20459479183045914,0.5746563076972961,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.28271552859951044,0.5638750791549683,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.29644909914350137,0.5602188110351562,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.3013821641652612,0.5598750114440918,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.3031043384471559,0.5589374899864197,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.3060842729792057,0.5577500462532043,32,4,500,1000,4,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
