iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.8473246805369854,0.30006253719329834,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.4451402835547924,0.39381247758865356,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.3373070750385523,0.40331247448921204,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.2591726863756776,0.4249999523162842,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.1546830397564918,0.43903133273124695,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.1387586081400514,0.43924999237060547,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.0761382504133508,0.4461875855922699,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.0312378368689679,0.45453131198883057,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0121252422686666,0.4513125717639923,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,0.9646215996763203,0.4554063081741333,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,1.001183448563097,0.45437508821487427,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.9742642479395727,0.45371872186660767,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.9596696385269752,0.45428118109703064,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.9661501320078969,0.4581250548362732,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.9383271528349724,0.45740634202957153,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.5845585276983911,0.47575002908706665,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.46972698588797357,0.4956875443458557,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.44052932010527,0.49868762493133545,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.4135215175410849,0.5002500414848328,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.3878820085301413,0.5018437504768372,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.37120997680176515,0.5012187361717224,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.3889644277296611,0.5003125071525574,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.4002725440514041,0.49968746304512024,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.41018963084206916,0.49768757820129395,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.41757022208184935,0.4973438084125519,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.25718397126183845,0.5119063258171082,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.23588581336662173,0.5146875381469727,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.22673080072854646,0.5158750414848328,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.21452174571459182,0.5153437852859497,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.19736574828857556,0.5161876082420349,32,4,500,1000,8,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
