iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.760454948991537,0.3270312547683716,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.3964723646640778,0.43659380078315735,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.290716102346778,0.45759376883506775,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.2276969030499458,0.4794999659061432,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.1375432051718235,0.47925007343292236,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.17077702912502,0.48371872305870056,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.1136636990122497,0.48968759179115295,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.1079067102400586,0.492312490940094,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0674728733720258,0.4974687695503235,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,1.0550781189231202,0.4987187683582306,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,1.0762734048767015,0.49825000762939453,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,1.0401977627770975,0.49553126096725464,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.9981202970957384,0.49431246519088745,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,1.060806985507952,0.4975312352180481,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,1.071523965074448,0.4995938241481781,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.5531551998574287,0.5163437128067017,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.4161974674789235,0.5440937280654907,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.34731517609907314,0.5577187538146973,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.30538952216738835,0.5644687414169312,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.2718697663221974,0.5666875243186951,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.24603829550324008,0.5727500319480896,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.2302384932700079,0.5719374418258667,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.20359339212882333,0.5747188329696655,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.1873943829559721,0.577125072479248,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.17474715146818198,0.5783437490463257,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.15978442807681859,0.5797498822212219,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.14983095109346323,0.5795313715934753,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.13914192575612105,0.5798124670982361,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.13103809287713375,0.5799375772476196,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.12705974208074622,0.5814688801765442,32,4,500,1000,9,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
