iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7243805192410946,0.3539687693119049,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.39636645198334,0.4429686665534973,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.300591927356436,0.47709378600120544,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.223717152082827,0.48596879839897156,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.218922515916347,0.4933750331401825,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,0.8898768774524797,0.5090625286102295,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,0.7720120885933284,0.5340000987052917,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,0.6889463741827058,0.545875072479248,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,0.6415101682177919,0.5500938892364502,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,0.5803281878834241,0.5552187561988831,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.5502183235003031,0.5577812790870667,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.5024818486454024,0.5631563067436218,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.4685354504508723,0.5662500858306885,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.44438177294068737,0.5667812824249268,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.41934102981213073,0.5672187805175781,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.39625444796547526,0.5694688558578491,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.38096066647267435,0.5708125829696655,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.35963713340606773,0.5714686512947083,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.34193319384030474,0.5717813372612,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.32893060349488223,0.5725937485694885,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.3658568105602171,0.5631250739097595,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.36861418204807705,0.5608750581741333,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.35634260766346415,0.5619688034057617,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.34815244774654275,0.5610313415527344,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.3290849887280274,0.5635312795639038,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.18231345132244314,0.5831875205039978,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.16793488574603543,0.585437536239624,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.15666055396832235,0.5862500071525574,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.14770728091662022,0.5870313048362732,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.14007293114718777,0.5867188572883606,32,4,500,1000,0,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
