iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7313921228051186,0.3233437240123749,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.4879912305623293,0.37671881914138794,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.435189101845026,0.3908437490463257,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.3024516999721527,0.401187539100647,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.2450294978916645,0.4180312752723694,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.190951959695667,0.4222187399864197,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.117920134216547,0.43078121542930603,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.0672009284608066,0.4260624945163727,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0501515518408269,0.4363437592983246,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,1.0363363875076175,0.4376875162124634,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.7662309352890588,0.4489375352859497,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.6444050869904459,0.46803125739097595,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.6082464871287812,0.470093697309494,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.5547566634486429,0.47450000047683716,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.5442568195430795,0.47046875953674316,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.4993251200648956,0.4779375493526459,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.48869350692257285,0.47715631127357483,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.46080919686937705,0.47878125309944153,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.4454249149202951,0.4790312945842743,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.4343931826224434,0.47809380292892456,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.36771380924619734,0.4841250777244568,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.343186613812577,0.48746877908706665,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.34183881990611553,0.48774999380111694,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.33621603285428137,0.48765629529953003,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.3381389459100319,0.4865312874317169,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.251582168173627,0.491625040769577,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.21791643855976872,0.4930626153945923,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.2057524211704731,0.49393755197525024,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.19626920408336446,0.4946562349796295,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.1898424925893778,0.4952812194824219,32,4,500,1000,2,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
