iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.783422615379095,0.30646878480911255,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.5025784708559513,0.38181251287460327,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.3596208086237311,0.4062812924385071,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.3072695834562182,0.42115628719329834,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.205302394926548,0.4337500035762787,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,1.1952640085946769,0.4412187933921814,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,1.0992917043622583,0.4417187571525574,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,1.120644039590843,0.4465937912464142,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,1.0554326715646312,0.4520625174045563,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,1.073941974376794,0.4540938138961792,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.7620051501435228,0.4688437581062317,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.6914922904106788,0.4853750765323639,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.6353416780330008,0.49331244826316833,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.5868391771509778,0.5012500286102295,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.5596045778656844,0.5009999871253967,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.526542916210019,0.5037500262260437,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.45951365630025975,0.5116562843322754,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.44381912623066455,0.5113124847412109,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.4174796848456026,0.5125312805175781,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.3988949705453706,0.5136562585830688,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.39281950978329405,0.5130312442779541,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.37141348134173313,0.514593780040741,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.3647441130960942,0.515375018119812,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.3524295169481775,0.515625,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.34907627867505653,0.514093816280365,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.2608319406899682,0.5141875147819519,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.25152838686699397,0.5168750882148743,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.2538392565838876,0.5150937438011169,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.25508528536011,0.5141562223434448,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.2548823832148628,0.514343798160553,32,4,500,1000,6,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
