iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7716820389032364,0.3331874907016754,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.3998879821738228,0.45112499594688416,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.3060887596802786,0.47684377431869507,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.2320415447757114,0.4894374907016754,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.160800332618237,0.49768754839897156,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,0.7653373067296343,0.5335937738418579,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,0.7043762902103481,0.5401250720024109,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,0.6688761957775569,0.5425000786781311,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,0.6433284011873184,0.5439063310623169,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,0.6246549180614238,0.543093740940094,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.45414025584977935,0.5695312023162842,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.41006841308444564,0.5738750100135803,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.37848255314202106,0.5743438005447388,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.3467358114066883,0.577468752861023,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.3244668149854988,0.5781875252723694,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.3020889067538519,0.578374981880188,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.2835528355972201,0.5786562561988831,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.26102421823998156,0.5809062719345093,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.24656623423197743,0.5814375877380371,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.23406337342203187,0.5825937986373901,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.2996322687904467,0.5702813267707825,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.2978532326987988,0.5655937790870667,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.28825204415443295,0.5661876201629639,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.2773302801151658,0.5683125853538513,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.26946755980134185,0.5680000185966492,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.21701189998384507,0.570062518119812,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.19742876452255587,0.5703437328338623,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.19643215937139757,0.5701563358306885,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.1927844930023639,0.5710000395774841,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.19103412193817348,0.5704687833786011,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
