iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local,algo_bn_calibration,algo_dynamic,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.7619542516767979,0.3226875364780426,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
1,1.3425517119467258,0.42353126406669617,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
2,1.2392549347132444,0.4511250853538513,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
3,1.124437770806253,0.4659374952316284,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
4,1.0782993854954839,0.47315627336502075,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
5,0.7276905104517937,0.5178125500679016,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
6,0.6262132246047258,0.5318124890327454,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
7,0.577285944018513,0.536906361579895,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
8,0.5274261357262731,0.5401875376701355,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
9,0.48346203844994307,0.5449063181877136,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
10,0.42818509694188833,0.5519374012947083,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
11,0.38846700731664896,0.555062472820282,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
12,0.354619468562305,0.5568749904632568,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
13,0.3230503995437175,0.5591875314712524,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
14,0.30253500444814563,0.5668437480926514,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
15,0.2507251788629219,0.570062518119812,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
16,0.23157456587068737,0.5691249966621399,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
17,0.19513717060908675,0.5730624794960022,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
18,0.17521584848873317,0.5736875534057617,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
19,0.15626687469193712,0.5739687085151672,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
20,0.1620269013219513,0.5725312232971191,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
21,0.1539637558744289,0.5734687447547913,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
22,0.14531249593710527,0.5734062194824219,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
23,0.13857584027573466,0.5730937719345093,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
24,0.13234593981178477,0.5743750333786011,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
25,0.0924390175496228,0.5761875510215759,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
26,0.0835468279547058,0.5756875872612,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
27,0.07442868821090087,0.5764063000679016,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
28,0.06890453945379704,0.5772500038146973,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
29,0.06188551482046023,0.576468825340271,32,4,500,1000,3,"(3, 32, 32)",10,0.03,0.99,4,30,10,3,True,3,5
