iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7827437122662863,0.2706330120563507,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.2642496222009261,0.2981771230697632,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.1640340999389688,0.31850966811180115,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.11943565945451458,0.33042871952056885,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.0715328090203305,0.3346354365348816,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.06516536527002852,0.3448517918586731,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.05561738298274577,0.3570713698863983,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.04011134780012071,0.3463541865348816,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.03815424659599861,0.3628806471824646,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.026483595429454,0.37209540605545044,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.03240359694852183,0.3702925145626068,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.024091099524715293,0.3717948794364929,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.02253512793686241,0.3793069124221802,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.013413956350026032,0.3792067766189575,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.01610855938633904,0.38181090354919434,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.014494678490639975,0.37710341811180115,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.010900718451011926,0.37990790605545044,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.01521409178773562,0.37900638580322266,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.012628418199407557,0.380709171295166,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.01099854059672604,0.3853164613246918,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.006659728736849502,0.3895232081413269,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.010115392506122589,0.38852164149284363,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.007149782720565175,0.38962337374687195,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.012026424510016417,0.39352965354919434,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.009205001663455429,0.39122599363327026,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.00516905625408981,0.3935297131538391,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.0046679046645294875,0.39383015036582947,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.0037425614621800682,0.3978365361690521,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.0030455332404623428,0.398036926984787,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.005790168977303741,0.3976362645626068,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
