iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.0947344079613686,0.25854170322418213,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.49422253916660946,0.3009999990463257,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.33485613701244193,0.3205000162124634,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.24940754286944866,0.32987502217292786,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.17436206915105382,0.32845836877822876,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.14245649497024715,0.3382500112056732,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.1429722864025583,0.33608338236808777,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.06984872037234406,0.3400000333786011,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.1295940603595227,0.34037500619888306,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.06483631437489142,0.3554583191871643,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.1183387831163903,0.3471667170524597,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.05142962259318059,0.35483336448669434,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.1068985991878435,0.35437506437301636,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.07529109867755324,0.36375004053115845,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.050181646986554064,0.374666690826416,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.03450251451189009,0.366625040769577,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.05390305022592656,0.3633750379085541,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.05952366750958996,0.36987507343292236,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.05001446669727253,0.3642500340938568,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.04073673066644309,0.3685416877269745,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.037203523699038975,0.367458313703537,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.03368040821320998,0.3733750283718109,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.016632097618033487,0.3752916753292084,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.029124002355577733,0.3803333640098572,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.023447074786721107,0.37670838832855225,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.014835478272289038,0.37891674041748047,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.027436437604289193,0.3800416886806488,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.036420928707229905,0.377250075340271,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.02215851694927551,0.38333332538604736,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.007918611421094587,0.3878333270549774,24,4,100,1000,0.0,5,"(3, 32, 32)",10,0.01,0.99,8,30,10
