iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.990768015384674,0.3057500422000885,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7780440002679825,0.33404168486595154,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.7448933720588684,0.34900006651878357,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.628245785832405,0.37270838022232056,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.5784456133842468,0.38445836305618286,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.5176384647687275,0.39141666889190674,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.4250276535749435,0.40683335065841675,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.3566258251667023,0.4150416851043701,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.296475072701772,0.41941672563552856,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.2261650015910466,0.42912501096725464,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.1957360555728276,0.42370837926864624,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.1548485855261486,0.42925000190734863,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.1098551775018375,0.43162497878074646,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.037664882838726,0.437041699886322,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.0089749693870544,0.4402082860469818,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.966901920735836,0.4425417184829712,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.937452107667923,0.44225001335144043,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8954060773054758,0.4412083327770233,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.861833559970061,0.44087502360343933,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8224083756407102,0.44687503576278687,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7962020163734754,0.4463333785533905,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7743844091892242,0.4451250731945038,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7322443599502245,0.44712504744529724,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7042053490877151,0.4500001072883606,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6802351772785187,0.44979172945022583,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6474213376641273,0.4519166946411133,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.630305419365565,0.45075005292892456,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.6068940373758475,0.45195838809013367,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5788462621470293,0.45129168033599854,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5497324590881666,0.453000009059906,24,24,500,1000,0.0,6,"(3, 32, 32)",10,0.03,0.99,30,10
