iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
24,3.1275220465660096,1.0297572612762451,13.107866287231445,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
25,2.9641271181901296,0.9811203479766846,12.61791706085205,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
26,2.897191415230433,0.9448398947715759,12.271406173706055,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
27,2.7667374952634174,0.8946515917778015,11.770903587341309,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
28,2.629324493606885,0.8436012864112854,11.270551681518555,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
29,2.5062330265839896,0.8054559230804443,10.911050796508789,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
30,2.385232078234355,0.7828150391578674,10.68032169342041,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
31,2.2831155868371327,0.7402700185775757,10.254490852355957,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
32,2.2185967493057253,0.7100282311439514,9.95494556427002,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
33,2.156216753522555,0.6911678314208984,9.77328872680664,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
34,2.0871375821034115,0.6730986833572388,9.588797569274902,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
35,2.013051441113154,0.6425572633743286,9.290428161621094,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
36,1.9775196619828541,0.6259610056877136,9.124763488769531,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
37,1.9407714360952377,0.6063708066940308,8.918305397033691,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
38,1.883530664642652,0.5865950584411621,8.714689254760742,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
39,1.8801382650931677,0.5795356631278992,8.655274391174316,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
40,1.846496993104617,0.5653078556060791,8.512149810791016,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
41,1.798717400431633,0.5426042675971985,8.285065650939941,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
42,1.771950960357984,0.5307810306549072,8.172613143920898,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
43,1.7471498459577561,0.5092176198959351,7.962546348571777,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
44,1.6932449879248936,0.4879596531391144,7.754115581512451,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
45,1.6761463848749796,0.48049235343933105,7.69162130355835,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
46,1.6845785520474117,0.48058491945266724,7.692028999328613,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
47,1.668303960164388,0.4669164717197418,7.559158802032471,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
48,1.6474376886089643,0.46718090772628784,7.547276496887207,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
49,1.6253300974766414,0.46190065145492554,7.510832786560059,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
50,1.5864516473809878,0.44720175862312317,7.361969470977783,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
51,1.543880764345328,0.433834433555603,7.2236175537109375,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
52,1.5691436299681663,0.4349815845489502,7.236302375793457,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
53,1.5568969537814459,0.42118996381759644,7.104319095611572,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
54,1.521416434943676,0.409568727016449,6.996720314025879,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
55,1.5234681580464045,0.40572717785835266,6.958043575286865,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
56,1.518471772670746,0.40191927552223206,6.922191143035889,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
57,1.4902510301272074,0.3976021409034729,6.885118007659912,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
58,1.47236064016819,0.3844793140888214,6.763492107391357,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
59,1.4747101513544718,0.3793887495994568,6.721454620361328,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
60,1.4837889750798543,0.38915541768074036,6.819011211395264,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
61,1.4918485683202745,0.3866945505142212,6.795445919036865,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
62,1.4652719019850096,0.38546624779701233,6.78097677230835,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
63,1.4645658602317175,0.3797084391117096,6.729565143585205,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
