iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.7691043143471082,0.4363333582878113,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.37080650093654793,0.4646667242050171,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.23315652832388878,0.49512502551078796,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.1448701685294509,0.5094167590141296,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.1729715169252207,0.5192500352859497,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.13709289708640426,0.5140416622161865,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.15067693315601596,0.5226249694824219,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.1681754484307021,0.515125036239624,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.0923002449174722,0.5206667184829712,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.037040610099211335,0.5414583683013916,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.06852922606049106,0.5325833559036255,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.05079284484963864,0.5410833954811096,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.028785120298077043,0.5467917323112488,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.09724155000488584,0.534041702747345,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.01972416464316969,0.5559583306312561,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.06274603875741984,0.5449167490005493,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.03421034774995254,0.5506249666213989,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.043177607925220705,0.5463750958442688,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.06456896200931321,0.545958399772644,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.10993951790442225,0.5235834121704102,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.4863599603510617,0.46637508273124695,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.2253440278194224,0.49141666293144226,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.2552507702979104,0.4748750329017639,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.1227113586840763,0.5066250562667847,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.12378309958633811,0.4952083230018616,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.13661556842271239,0.4936250150203705,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.08886805381431866,0.4982500672340393,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.14133143015108848,0.49475008249282837,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.07723199869603074,0.5103750228881836,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.07438615419475052,0.5042083263397217,24,4,500,1000,20,3,"(3, 32, 32)",10,0.01,0.99,8,30,10
