iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.764821524421374,0.452750027179718,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.38895887695252895,0.479000061750412,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2710463690261046,0.4937083423137665,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.16471255151554942,0.515291690826416,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.11252268659882247,0.5263750553131104,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.1497938595712185,0.5259584188461304,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.14156602489917228,0.5199167132377625,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.07770127275337775,0.5380833745002747,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.11704669089522213,0.5315001010894775,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.04023729532491416,0.5480000376701355,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.48307304239521426,0.4716666340827942,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.3506076297295901,0.47600001096725464,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.2661277427105233,0.47854170203208923,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.16345531470142305,0.4909999370574951,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.13997881634471318,0.5015000700950623,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.1551187727988387,0.4882083535194397,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.14834239355210835,0.4943333566188812,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.10411396292814364,0.5123333930969238,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.14718145159228394,0.502583384513855,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.08045010823601235,0.5043333768844604,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.09314624080434442,0.4999583661556244,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.09121357098047156,0.5040416121482849,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.055709562254681565,0.5169166326522827,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.07383147927854831,0.5083750486373901,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.038765230783610605,0.5141666531562805,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.07171534544128615,0.5102083683013916,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.07581274422166946,0.505250096321106,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.04698257246733798,0.5167084336280823,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.026850613389494054,0.5247083902359009,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.052302828276879154,0.5120000839233398,24,4,500,1000,10,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
