iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.8439129715164503,0.4283333420753479,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.30079111953576404,0.4842500388622284,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2502073982420067,0.48883336782455444,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.153629143955186,0.5087500810623169,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.1348423270198206,0.5171666741371155,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.5185237395732353,0.45491668581962585,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.2941898141677181,0.4802500009536743,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.3380027789777766,0.45391666889190674,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.23704123454323658,0.4723333716392517,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.21279978344682604,0.471500039100647,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.17791318078525364,0.47970837354660034,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.09534144607217361,0.49179166555404663,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.11040049783575039,0.4842917323112488,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.07326001268423472,0.4978749752044678,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.06092355080181733,0.49512505531311035,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.08260063655325212,0.4986667335033417,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.09986101516309039,0.4934167265892029,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.06268033799521315,0.49504169821739197,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.023789958232858528,0.5063333511352539,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.08233062463599101,0.49529170989990234,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.06601136964551794,0.49541664123535156,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.08912396841333248,0.49483340978622437,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.07159277236739096,0.5009167194366455,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.0635351746653517,0.502375066280365,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.06957973368601718,0.4936250150203705,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.042038626212161034,0.499541699886322,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.04182094126493515,0.5007084012031555,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.03167538629107488,0.4971250295639038,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.04107165680761682,0.5062084197998047,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.031763450846483465,0.5067500472068787,24,4,500,1000,5,0,"(3, 32, 32)",10,0.01,0.99,8,30,10
