iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu,algo_bn_calibration,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,1.9255417436361313,0.2880937159061432,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
1,1.710372868925333,0.3736875653266907,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
2,1.7209166139364243,0.37999996542930603,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
3,1.6849238611757755,0.40156251192092896,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
4,1.5729248896241188,0.4294999837875366,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
5,1.514297179877758,0.4403437376022339,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
6,1.47819091565907,0.45006245374679565,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
7,1.4582677613943815,0.45103129744529724,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
8,1.3788118418306112,0.46793749928474426,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
9,1.3492954932153225,0.4726250171661377,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
10,1.1862823981791735,0.4893125593662262,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
11,1.1315367091447115,0.4988436996936798,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
12,1.094455337151885,0.5013126134872437,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
13,1.0459184180945158,0.510312557220459,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
14,1.0172787439078093,0.5128437280654907,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
15,0.9611378777772188,0.5171875357627869,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
16,0.9544522296637297,0.5165313482284546,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
17,0.954533513635397,0.5125313401222229,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
18,0.9376715207472444,0.5150312781333923,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
19,0.9225578485056758,0.5155938267707825,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
20,0.8108555600047112,0.529218852519989,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
21,0.776779348962009,0.5344687700271606,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
22,0.7521365014836192,0.5358750224113464,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
23,0.7275955369696021,0.5375312566757202,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
24,0.7047871639952064,0.5401250720024109,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
25,0.6617984231561422,0.5410000085830688,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
26,0.643636560998857,0.5415938496589661,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
27,0.6188693400472403,0.5437188148498535,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
28,0.6025899108499289,0.5442500114440918,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
29,0.5831040535122156,0.5460938215255737,32,4,500,1000,7,"(3, 32, 32)",10,0.03,0.99,30,10,0.01,3,True,4,3,5
