iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,2.1158775140841803,0.13558334112167358,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
1,2.1851673622926078,0.1651250123977661,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
2,2.0071124782164893,0.1900000274181366,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
3,2.012071371078491,0.19624999165534973,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
4,2.080603857835134,0.19716668128967285,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
5,1.8674857715765636,0.2095000147819519,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
6,1.731277773777644,0.23066666722297668,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
7,1.7944148903091748,0.22083336114883423,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
8,1.6167344897985458,0.2434583604335785,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
9,1.7656776408354442,0.2122499942779541,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
10,1.2439745912949245,0.2445416897535324,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
11,1.3701280107100804,0.24825000762939453,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
12,1.258792941768964,0.24450001120567322,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
13,1.690722784648339,0.2265416383743286,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
14,1.2557482967774074,0.2616667151451111,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
15,1.0659421508510907,0.2642916738986969,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
16,1.4542351886630058,0.2553750276565552,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
17,1.0480365815262,0.25475001335144043,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
18,0.8130244836211205,0.2770000100135803,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
19,1.219338317712148,0.2642500400543213,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
20,0.6407167352735996,0.30125007033348083,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
21,0.5873008407652378,0.3146666884422302,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
22,0.7989501357078552,0.28441667556762695,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
23,0.915739182382822,0.2800000309944153,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
24,0.6385225796451172,0.29270830750465393,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
25,0.48509188493092853,0.3110833764076233,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
26,0.7688433888057867,0.2931666970252991,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
27,0.5200001445288459,0.31966668367385864,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
28,0.584372011013329,0.3084166646003723,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
29,0.44363239283363026,0.3173333406448364,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,30,10,10.0
