iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.7868910729885101,0.29527243971824646,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.278856731330355,0.3498597741127014,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.15989286017914614,0.37189504504203796,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.11628216474006574,0.38641831278800964,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.08326766764124234,0.39893829822540283,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.06736178820331891,0.4030449092388153,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.04868125341211756,0.4114583432674408,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.04130047342429558,0.4201723039150238,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.03560677714024981,0.42337745428085327,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.03062769176904112,0.4259816110134125,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.026179308032927413,0.43008822202682495,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.021545332274399698,0.4329928755760193,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.018624669290147722,0.4379006326198578,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.018040439812466502,0.44110578298568726,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.015398421169569096,0.4436097741127014,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.013747404407088956,0.4496194124221802,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.01114815657880778,0.447415828704834,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.011803339099666724,0.4504207372665405,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.010614727138696859,0.4484174847602844,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.00864080471607546,0.4505208432674408,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.00762368106128027,0.456129789352417,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.0076335799337054295,0.455729216337204,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.006650229071965441,0.45562905073165894,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.0061974696776208775,0.4568309783935547,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.006011544183517496,0.45242393016815186,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.0053500969855425256,0.4603365659713745,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.004935705102980137,0.4612380266189575,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.005143146476863573,0.46654653549194336,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.004460554657271132,0.4616386294364929,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.0043355417146813124,0.4614383578300476,24,1,50,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
