iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,1.1554610083500545,0.2990833520889282,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.6374966725707054,0.32854166626930237,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.42931006476283073,0.33787500858306885,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.35578113173445064,0.3484583795070648,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.24707808531820774,0.3521667420864105,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.19636851797501245,0.3556250333786011,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.17156513889009753,0.35441669821739197,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.1482027219608426,0.3591667115688324,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.12297562633951505,0.3606667220592499,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.10149504368503888,0.3654167056083679,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.08696149266324937,0.3647083640098572,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.06543997217280169,0.369625061750412,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.06291991588659585,0.3720416724681854,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.047275187370056905,0.3736667037010193,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.04647014037861178,0.37779173254966736,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.03399704571347684,0.37408334016799927,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.028848928787435096,0.3670000731945038,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.029557056181753676,0.3692500591278076,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.024848299120397616,0.37174999713897705,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.029569876069823902,0.37287503480911255,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.024091886666913826,0.37583333253860474,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.015088792832102627,0.3802499771118164,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.014846848226928463,0.38041675090789795,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.014506257022731006,0.3792916536331177,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.01377489153916637,0.3760416507720947,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.01398566113008807,0.3770833909511566,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.011626441885406772,0.37975001335144043,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.010634074220433831,0.3789583444595337,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.008497122549063837,0.37550005316734314,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.008445959256884331,0.3756250739097595,24,8,100,1000,0.0,9,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
