iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5935543868690729,0.3554063141345978,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.23270248109474778,0.3903124928474426,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.1417955495417118,0.4033749997615814,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.10617702908348292,0.4115937352180481,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.0955446235020645,0.41084378957748413,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.08351149680675007,0.41837501525878906,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.09172818911611103,0.4246562421321869,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.0704888112086337,0.42478126287460327,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.052288229038822465,0.4318125247955322,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.04614313307683915,0.4320937693119049,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.220155541159329,0.5218750834465027,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.1093981335288845,0.5321250557899475,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.038907557805941906,0.5390313267707825,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.06174386150814826,0.5421562194824219,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.036777017325221095,0.5456875562667847,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.021202422056376236,0.5482812523841858,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.020748126877151662,0.5511875748634338,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.04820011809351854,0.5461874604225159,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.02718235359498067,0.5500625371932983,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.03172493671081611,0.5549687147140503,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.029940789980173577,0.5581250190734863,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.025156299114314606,0.5594688057899475,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.038033291424653726,0.5564063191413879,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.028481064471634454,0.5625625848770142,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.0200626498535712,0.5668751001358032,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.026926958986223326,0.564875066280365,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.027805659718069364,0.5671250224113464,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.0374303505741409,0.5669687986373901,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.029054164020635653,0.5695937871932983,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.06461983147164574,0.565281331539154,32,4,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
