iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5758720692247152,0.3590937554836273,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.260664414614439,0.3802500069141388,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.15738666872493923,0.3970625400543213,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.12020109430886805,0.4090624749660492,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.08883241389412433,0.4204687476158142,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.23060724139213562,0.508312463760376,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.12840776023222134,0.5201250314712524,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.13117065993719734,0.5204999446868896,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.05280412730644457,0.5343437790870667,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.06440690439194441,0.5332812666893005,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.0568681996956002,0.5396562218666077,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.04220966801221948,0.5458124876022339,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.07719818765326636,0.5432500243186951,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.044762463701772504,0.5572187304496765,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.040549526769609656,0.5504688024520874,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.06710315991949756,0.5495312809944153,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.08169714992982335,0.5433124899864197,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.023844937204557937,0.5580625534057617,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.008269374666269869,0.5605312585830688,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.022798227437306195,0.5569063425064087,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.02883877046406269,0.5610937476158142,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.03444819768628804,0.5568124651908875,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.010378958431829233,0.5639062523841858,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.011954039244301384,0.5650937557220459,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.03178942168233334,0.5621250867843628,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.020318310394941363,0.5616562962532043,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.0161677909673017,0.56187504529953,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.005268297714792425,0.5659688115119934,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.011181012469023699,0.5645937919616699,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.0111081270770228,0.5637187957763672,32,4,500,1000,8,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
