iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5511265248060226,0.3590937852859497,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.2586185918189585,0.38596874475479126,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.13003381132148206,0.4061874747276306,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.15020051586907357,0.40456250309944153,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.07301417517010123,0.4181250333786011,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.23247327349963598,0.5079375505447388,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.1153717924898956,0.5222499966621399,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.07764478342141956,0.5316562652587891,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.0912601062154863,0.5213750004768372,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.05089513718849048,0.53453129529953,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.05210669377265731,0.5375624895095825,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.038519122848811094,0.538031280040741,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.027321530375047587,0.5455313324928284,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.05875968492910033,0.5437812805175781,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.03836091972334543,0.5478750467300415,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.06935314813017612,0.5510000586509705,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.03688240802148357,0.5610001087188721,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.058261625104933046,0.5578750371932983,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.04160065718315309,0.5569062232971191,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.03484560178912943,0.5606875419616699,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.020951245907781413,0.5615938305854797,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.026770781121740583,0.5569686889648438,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.012028143715724582,0.5643125176429749,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.007146285886847181,0.5651563405990601,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.027894783659576206,0.5647499561309814,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.014585932851332473,0.5636250376701355,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.012378087320030318,0.5654688477516174,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.019311010741148493,0.5630937814712524,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.01937513543816749,0.5671875476837158,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.01807286862640467,0.5693437457084656,32,4,500,1000,3,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
