iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5855466779321432,0.35112500190734863,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.2751346188597381,0.38315629959106445,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.13489864754956216,0.4036563038825989,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.1337598271202296,0.4073124825954437,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.10641768539790064,0.41453126072883606,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.07110340436338447,0.42499998211860657,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.054134869715198874,0.4287812411785126,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.06450898299226537,0.43150001764297485,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.04957623207883444,0.43662503361701965,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.036516421459964477,0.43684378266334534,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.2254654105345253,0.5208125710487366,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.1172677970098448,0.5292500853538513,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.04154454055969836,0.5412500500679016,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.06506141363934148,0.5406250357627869,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.07431970987818204,0.5413438081741333,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.05520648747187806,0.5485938191413879,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.08094292637542821,0.5474376082420349,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.06064479486667551,0.5535000562667847,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.036542830064718146,0.5567499995231628,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.017550736607518047,0.5557812452316284,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.01382867064603488,0.5605312585830688,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.020219462436216418,0.5614687204360962,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.008528086487785913,0.5633437633514404,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.014764736501092557,0.5637187361717224,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.04084166775101039,0.5605000257492065,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.027602880260019447,0.5621874928474426,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.03795152068778407,0.5597187280654907,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.00787626561941579,0.5692186951637268,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.002846785459041712,0.5666249990463257,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.01749423846558784,0.5644687414169312,32,4,500,1000,5,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
