iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.5660950392484665,0.3632500469684601,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.2542199781164527,0.39484378695487976,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.1563279319088906,0.3995312452316284,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.11832465790212154,0.4093749523162842,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.108334370481316,0.4154062867164612,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.07772105879848823,0.4229375422000885,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.06563264707801864,0.42396876215934753,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.0515124095545616,0.42746877670288086,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.07106283295433968,0.4246875047683716,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.05539498230791651,0.43140628933906555,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.013903938393923454,0.4358750581741333,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.04277702441322617,0.4362500011920929,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.06377365991647821,0.42656251788139343,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.05986214627046138,0.429312527179718,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.02210392446431797,0.43859371542930603,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.22541598321549827,0.5261249542236328,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.09208446637057932,0.5355936884880066,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.0585643726408307,0.5461874604225159,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.0713509115994384,0.5455312728881836,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.03678099104217836,0.5518437027931213,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.054272655444947304,0.5482500791549683,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.04804127318857354,0.5503124594688416,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.041308846419269685,0.5525624752044678,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.014756516684428789,0.5583749413490295,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.011606828888034215,0.5606250762939453,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.009706284781714203,0.5623125433921814,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.015783018061483745,0.5607187747955322,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.008883023629095987,0.5630313158035278,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.024975701478979317,0.5672187209129333,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.02532921839519986,0.5651251077651978,32,4,500,1000,7,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
