iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local,algo_dynamic,algo_n_clusters,algo_n_active_clusters,algo_cluster_rotation_freq
0,0.564377611503005,0.3608749806880951,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
1,0.2526317541487515,0.3866562247276306,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
2,0.17893213592469692,0.40321874618530273,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
3,0.11855121189728379,0.4118749797344208,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
4,0.09808336308924481,0.42231252789497375,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
5,0.22428621328435838,0.5138750076293945,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
6,0.11537579394644126,0.5242500305175781,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
7,0.10064074603724293,0.5250937938690186,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
8,0.06313522085838486,0.5296875834465027,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
9,0.06939650114509277,0.5329688191413879,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
10,0.04620112835254986,0.537656307220459,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
11,0.028166333970148116,0.5407500267028809,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
12,0.044748060063284356,0.5388749837875366,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
13,0.0301077890835586,0.5423125624656677,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
14,0.02348254399112193,0.544312596321106,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
15,0.033288930120761506,0.548781156539917,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
16,0.050885329277662095,0.5524687767028809,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
17,0.029376592974585947,0.5552500486373901,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
18,0.025907323411956895,0.5563437342643738,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
19,0.05762715052696876,0.5537188053131104,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
20,0.06396636136196321,0.549781322479248,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
21,0.018778255242068553,0.5594687461853027,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
22,0.028484602273238124,0.5602500438690186,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
23,0.046864444280799944,0.5602812767028809,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
24,0.023303389560169308,0.5598125457763672,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
25,0.01244282931293128,0.5663125514984131,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
26,0.01609187993744854,0.5698438286781311,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
27,0.0050160560858785175,0.5711250901222229,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
28,0.010049350290501025,0.571812629699707,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
29,0.017857357905086246,0.5716250538825989,32,4,500,1000,6,"(3, 32, 32)",10,0.01,0.99,8,30,10,True,4,3,5
