iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.9185143709182739,0.3969584107398987,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.40323505612711114,0.4335417151451111,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2600317032386859,0.4442083537578583,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.26769958017393947,0.45004165172576904,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.24297928639377156,0.45333331823349,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.17091246011356512,0.4636250436306,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.1810404770076275,0.45533332228660583,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.150916952212962,0.4623333811759949,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.13167042238637805,0.4712499976158142,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.07509182766079903,0.4740833640098572,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.10114616718298446,0.4777916669845581,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.100210766987099,0.47641676664352417,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.09819817266543396,0.479083389043808,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.06927462819536838,0.479166716337204,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.13306030838672692,0.46412497758865356,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.11134413705440238,0.4699583649635315,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.06738534310716204,0.47841665148735046,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.0444137108521924,0.48512500524520874,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.03867818144984388,0.4859166741371155,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.01793947298331962,0.49225008487701416,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.03076968991566294,0.4865000247955322,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.022167528591429193,0.48445838689804077,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.04780117274397829,0.48566675186157227,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.0159714910259936,0.4890833795070648,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.027970173709036317,0.49024999141693115,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.011049112976858547,0.49012503027915955,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.033060795072136294,0.4904583692550659,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.04418065014760941,0.48887503147125244,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.026904678862289682,0.4919583797454834,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.03393177437101258,0.4801667332649231,24,4,500,1000,60.0,8,"(3, 32, 32)",10,0.01,0.99,8,30,10
