iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.8293311794598898,0.4267500042915344,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.3517243657261133,0.4804583489894867,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.22222245888163647,0.4975000321865082,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.1631289147771895,0.5197916626930237,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.20062161974298456,0.5164999961853027,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.1255108524734775,0.5307916402816772,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.12811828963458538,0.5252916812896729,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.08925866424882163,0.5270833969116211,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.03637400486816963,0.5451250076293945,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.03512465098174289,0.548541784286499,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.057228894535607346,0.5397083759307861,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.09364962979452685,0.5368333458900452,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.09890190301424202,0.5378749966621399,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.10928868655658637,0.5358334183692932,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.08997335742848615,0.533666729927063,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.03867189785038742,0.54604172706604,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.034313830168684945,0.5485417246818542,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.021349225358183805,0.5562082529067993,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.020618815275762852,0.5571250915527344,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.04958670701792774,0.5533334016799927,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.04624709937585673,0.5561667084693909,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.05107105637822921,0.5548750758171082,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.004676360607845709,0.5674583911895752,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.021911898989249796,0.5606667399406433,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.016141174198613346,0.559749960899353,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.01668533637954776,0.5640416741371155,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.027935244256999187,0.5595000982284546,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.022226560324876726,0.5616667866706848,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.03597802375103735,0.5621667504310608,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.020910457938346855,0.5625,24,4,500,1000,0.0,1,"(3, 32, 32)",10,0.01,0.99,8,30,10
