iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
56,0.781733845671018,0.2682880759239197,3.4103875160217285,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
57,0.7490366883079211,0.2562462389469147,3.2918481826782227,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
58,0.7312769164144993,0.25178074836730957,3.2538087368011475,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
59,0.6953930982450645,0.24280314147472382,3.1677069664001465,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
60,0.6694577810168266,0.23472921550273895,3.089158296585083,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
61,0.6770750453571478,0.23073256015777588,3.047642469406128,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
62,0.6619764105478922,0.22242729365825653,2.9633450508117676,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
63,0.6590497228999933,0.2161167711019516,2.9030120372772217,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
64,0.6693022513389587,0.21911689639091492,2.9260971546173096,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
65,0.6647895062466462,0.21474014222621918,2.886110305786133,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
66,0.6568841967980067,0.21797223389148712,2.9167098999023438,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
67,0.6684444865584374,0.21332566440105438,2.874112129211426,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
68,0.6827087409297625,0.2140403836965561,2.883117198944092,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
69,0.6865894111742576,0.21102549135684967,2.850922107696533,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
70,0.6768040959537029,0.20635133981704712,2.808826208114624,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
71,0.6883648716410001,0.20340712368488312,2.781252384185791,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
72,0.68812872265776,0.2003401666879654,2.755521774291992,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
73,0.6753611155847709,0.19403839111328125,2.6957828998565674,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
74,0.7095089183747768,0.1960279941558838,2.7178924083709717,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
75,0.6885583551228046,0.19503146409988403,2.7040348052978516,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
76,0.6746575825413068,0.18807455897331238,2.6410608291625977,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
77,0.6528617277741432,0.18374207615852356,2.596698045730591,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
78,0.6394055363535881,0.18202577531337738,2.5754494667053223,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
79,0.6225361090898514,0.1806025207042694,2.5606133937835693,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
80,0.6340781117975712,0.17766448855400085,2.5364296436309814,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
81,0.62137636149923,0.17833733558654785,2.5397324562072754,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
82,0.6361443896094958,0.18051311373710632,2.557429313659668,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
83,0.6399878644943238,0.1842551827430725,2.598341703414917,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
84,0.6504076025386651,0.17907877266407013,2.5472493171691895,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
