iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,79.743775100708,8.898921966552734,89.99755096435547,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
1,64.64203941345215,7.8685126304626465,79.61038970947266,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
2,53.45355596542358,7.0642781257629395,71.47442626953125,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
3,43.94299313227336,6.315779209136963,63.93617248535156,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
4,36.93441365559896,5.718907833099365,57.918941497802734,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
5,31.517678254445393,5.244404315948486,53.139530181884766,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
6,26.763555879592897,4.796530723571777,48.64048385620117,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
7,23.180202016830446,4.398262977600098,44.63447189331055,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
8,20.179410419464112,4.0646586418151855,41.26791763305664,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
9,17.653100414276125,3.766085386276245,38.243980407714844,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
10,15.476786801020305,3.4870216846466064,35.4377555847168,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
11,13.71891793568929,3.2637112140655518,33.1596794128418,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
12,12.335857337315877,3.051259994506836,31.03948974609375,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
13,11.133411394755045,2.8645761013031006,29.20439910888672,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
14,10.11762998421987,2.7146549224853516,27.72246551513672,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
15,9.262299147446951,2.5657501220703125,26.242815017700195,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
16,8.44676294485728,2.4237523078918457,24.828779220581055,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
17,7.6001090145111085,2.276495933532715,23.380659103393555,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
18,6.985940334399541,2.138568639755249,21.99054527282715,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
19,6.4277150265375775,2.0241329669952393,20.842130661010742,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
20,6.005937695105871,1.9383158683776855,19.986835479736328,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
21,5.48076157450676,1.8292407989501953,18.895488739013672,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
22,5.16821368098259,1.7471680641174316,18.09023094177246,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
23,4.848739819129308,1.6645519733428955,17.284738540649414,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
24,4.607199643850326,1.5929557085037231,16.579099655151367,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
25,4.4016756172974905,1.533365249633789,15.968127250671387,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
26,4.275512235164642,1.501416563987732,15.667871475219727,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
27,4.060408582091331,1.4553306102752686,15.22681999206543,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
28,3.8254747865597407,1.3820405006408691,14.47531795501709,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
29,3.6786385945479076,1.3426486253738403,14.089401245117188,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
30,3.610466250975927,1.3215359449386597,13.887080192565918,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
31,3.4927698198954262,1.2996407747268677,13.679954528808594,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
32,3.420811465581258,1.251646637916565,13.197264671325684,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
33,3.355474123557409,1.2333948612213135,13.01098346710205,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
34,3.2379428654909135,1.2003154754638672,12.666421890258789,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
35,3.243267377217611,1.1762624979019165,12.414217948913574,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
36,3.1704027821620304,1.1556570529937744,12.227867126464844,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
37,3.117335252165794,1.1462894678115845,12.127030372619629,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
38,2.9667498044172924,1.1031357049942017,11.662447929382324,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
39,3.0145931309461593,1.1006556749343872,11.63587474822998,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
40,3.00287446141243,1.0959796905517578,11.571760177612305,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
41,3.028024998704592,1.082215666770935,11.41367244720459,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
42,3.004084457953771,1.0674285888671875,11.247063636779785,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
43,2.957327864567439,1.0417885780334473,11.002847671508789,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
44,2.883104957739512,1.0181427001953125,10.76366901397705,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
45,2.799899523258209,1.0012524127960205,10.603080749511719,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
46,2.784157119592031,0.9819072484970093,10.412862777709961,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
47,2.7479965327183407,0.9738608002662659,10.344008445739746,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
48,2.81374622186025,0.9700807929039001,10.284078598022461,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
49,2.7651867230733234,0.9530800580978394,10.124577522277832,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
50,2.8028803120056787,0.9471421241760254,10.06151008605957,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
51,2.7052549706896145,0.9182137250900269,9.774993896484375,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
52,2.6775537115335464,0.8970913887023926,9.56557559967041,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
53,2.6654537800947824,0.8982533812522888,9.597594261169434,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
54,2.6490102797746657,0.8958927392959595,9.587512016296387,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
55,2.604560922384262,0.8863263130187988,9.501079559326172,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
56,2.581548767487208,0.8749232292175293,9.385299682617188,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
57,2.536876613497734,0.8601865768432617,9.237804412841797,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
58,2.557195657293002,0.8565295338630676,9.21579647064209,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
59,2.4634741285443305,0.8389636874198914,9.04219913482666,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
60,2.419156847993533,0.8334358930587769,8.975234985351562,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
61,2.3829739917318027,0.8282793164253235,8.931107521057129,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
62,2.4178187542160354,0.8264752626419067,8.911748886108398,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
63,2.42109713157018,0.8256162405014038,8.924314498901367,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
64,2.4395172257721423,0.8164240717887878,8.827564239501953,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
65,2.458530625005563,0.8151826858520508,8.81277084350586,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
66,2.487954518099626,0.8121126890182495,8.766023635864258,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
67,2.4409805210431417,0.8148765563964844,8.789621353149414,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
68,2.3931818105777105,0.8030046820640564,8.680893898010254,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
69,2.3464548804362617,0.7833555340766907,8.485611915588379,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
70,2.3636406595508257,0.7786133289337158,8.42426586151123,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
71,2.394772141178449,0.7913535237312317,8.563414573669434,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
72,2.4871842682361605,0.8013884425163269,8.660284996032715,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
73,2.55416879872481,0.8173209428787231,8.825355529785156,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
74,2.5907294305165607,0.809495210647583,8.76216983795166,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
75,2.5827116441726683,0.8046634197235107,8.719961166381836,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
76,2.5213632554809253,0.8011942505836487,8.675334930419922,3,150,10,500,10,0,0,False,10,False,0.01,,3,300,2
