iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9728507349888484,0.2821666896343231,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7577567249536514,0.33895835280418396,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6783315141995747,0.35691672563552856,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.5835469216108322,0.37945836782455444,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.4729360491037369,0.4020000398159027,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.3863174269596736,0.4136667251586914,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.2901691198349,0.42895838618278503,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.2575811296701431,0.43400001525878906,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.19901738067468,0.43783339858055115,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.1479217832287152,0.4382084012031555,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.084896060327689,0.4493333697319031,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.0403924857576687,0.44841668009757996,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.9774039760231972,0.4559583365917206,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.9527761166294416,0.45487508177757263,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.9193721910317739,0.45750004053115845,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.8822858557105064,0.46250006556510925,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.8396682391564051,0.4647917151451111,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.7961944714188576,0.4647500216960907,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.7731837878624598,0.4645417332649231,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.7392846172054609,0.4661250114440918,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7101691290736198,0.4699166715145111,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.6654742484291395,0.47066664695739746,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.6508654728531837,0.47054165601730347,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6318903441230456,0.47279173135757446,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6055242431660494,0.47212502360343933,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.5757422347863516,0.4741666913032532,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.5590554314355055,0.4727500081062317,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5268258464833101,0.4751250445842743,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5149300508201122,0.47454172372817993,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.4789082271357377,0.47608333826065063,24,4,500,1000,15.0,8,"(3, 32, 32)",10,0.03,0.99,30,10
