iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.8051405598719914,0.3047500252723694,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
1,1.3942777613798778,0.3645000457763672,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
2,1.2175368691484134,0.38191670179367065,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
3,0.998951643705368,0.40808331966400146,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
4,0.8026184812188148,0.4290418028831482,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
5,0.7104506393273672,0.42904171347618103,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
6,0.5800556056201458,0.4361250400543213,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
7,0.5027360804378986,0.43929171562194824,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
8,0.4248250325520833,0.4454166889190674,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
9,0.37661147583276033,0.445666640996933,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
10,0.2995404889807105,0.4512084126472473,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
11,0.288524870450298,0.44595837593078613,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
12,0.24141363116602102,0.4501666724681854,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
13,0.18977925584961972,0.45379170775413513,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
14,0.17072146005618075,0.45399999618530273,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
15,0.1456226575343559,0.45725005865097046,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
16,0.1247735576859365,0.4567500948905945,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
17,0.11353582438702385,0.4556666612625122,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
18,0.09311218435565631,0.45741671323776245,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
19,0.07830703483584027,0.4579167068004608,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
20,0.07497621156896155,0.45779168605804443,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
21,0.06092522223480046,0.4591250419616699,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
22,0.05604538911332687,0.4592083692550659,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
23,0.04701678610096375,0.4595416486263275,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
24,0.04062469177491342,0.46079176664352417,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
25,0.03658499947050586,0.460625022649765,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
26,0.035289859709640346,0.460375040769577,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
27,0.030978268982532125,0.460458368062973,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
28,0.02671372366603464,0.4618333578109741,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
29,0.024503252692132566,0.46141669154167175,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,4,30,10
