iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,2.105618824561437,0.21687500178813934,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.8394788553317387,0.3021667003631592,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.753033255537351,0.312583327293396,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.7058986922105153,0.3191250264644623,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.6110848933458328,0.335625022649765,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.4452090213696163,0.36225005984306335,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.3885639160871506,0.36366671323776245,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.308340276281039,0.375041663646698,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.2881877322991688,0.3682916760444641,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.1948436573147774,0.38091668486595154,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.1512113610903423,0.37966668605804443,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.076231690744559,0.38845834136009216,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0248693625132244,0.38604164123535156,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.983626606563727,0.38679176568984985,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.9269105618198713,0.39108332991600037,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.8716306164860725,0.39516663551330566,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.8399113193154335,0.39475008845329285,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.7855048601826032,0.39633333683013916,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.7549749836325645,0.3981667459011078,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.725514143705368,0.39649996161460876,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.6805235172311465,0.39875006675720215,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.6665985286235809,0.3956250846385956,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.6185563045243422,0.3970416784286499,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.5920956470072269,0.398624986410141,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.5493579208850861,0.3996250331401825,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.5297978247205416,0.3997917175292969,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.49839770048856735,0.3998333215713501,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.4840405471622944,0.39912497997283936,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.452594139923652,0.40012499690055847,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.4306734961767991,0.3997083902359009,24,8,200,1000,0.0,10,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
