iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
58,39.52568160764958,116.98915443115135,3,150,10,500,10,0.0,1.0,5,0.05,30,200
59,39.117464913192,115.12993985738375,3,150,10,500,10,0.0,1.0,5,0.05,30,200
60,39.839866999521,115.78069102013319,3,150,10,500,10,0.0,1.0,5,0.05,30,200
61,40.7597027293486,114.77964329797416,3,150,10,500,10,0.0,1.0,5,0.05,30,200
62,39.63827165447511,116.13913090859045,3,150,10,500,10,0.0,1.0,5,0.05,30,200
63,39.522622378167,115.61845215541994,3,150,10,500,10,0.0,1.0,5,0.05,30,200
64,39.82801140246299,116.01932034813348,3,150,10,500,10,0.0,1.0,5,0.05,30,200
65,40.84928721636294,116.48112029288156,3,150,10,500,10,0.0,1.0,5,0.05,30,200
66,41.27168041762292,117.8266107268873,3,150,10,500,10,0.0,1.0,5,0.05,30,200
67,41.605814537241095,115.21443675064013,3,150,10,500,10,0.0,1.0,5,0.05,30,200
68,41.76607964713418,115.94293092375514,3,150,10,500,10,0.0,1.0,5,0.05,30,200
69,42.31509630106394,114.33376173130225,3,150,10,500,10,0.0,1.0,5,0.05,30,200
70,42.9231928173209,113.20840305185355,3,150,10,500,10,0.0,1.0,5,0.05,30,200
71,43.09079584129734,114.83737484081456,3,150,10,500,10,0.0,1.0,5,0.05,30,200
72,43.344117725864834,114.78098587935742,3,150,10,500,10,0.0,1.0,5,0.05,30,200
73,42.916648339260625,113.22218870663336,3,150,10,500,10,0.0,1.0,5,0.05,30,200
74,43.8240262764888,113.95418899410453,3,150,10,500,10,0.0,1.0,5,0.05,30,200
75,44.78030033377433,114.39333846888212,3,150,10,500,10,0.0,1.0,5,0.05,30,200
76,43.61440221757067,114.42479144668425,3,150,10,500,10,0.0,1.0,5,0.05,30,200
77,44.60517317418798,113.86748012472567,3,150,10,500,10,0.0,1.0,5,0.05,30,200
78,44.40126924357636,116.03726938584921,3,150,10,500,10,0.0,1.0,5,0.05,30,200
79,44.30587256033086,114.89991863067227,3,150,10,500,10,0.0,1.0,5,0.05,30,200
80,43.93215303852664,115.06298395589936,3,150,10,500,10,0.0,1.0,5,0.05,30,200
81,43.72265479713363,113.80568488990939,3,150,10,500,10,0.0,1.0,5,0.05,30,200
82,45.09143386042129,115.21166397023293,3,150,10,500,10,0.0,1.0,5,0.05,30,200
83,44.46748464183969,114.08169814636742,3,150,10,500,10,0.0,1.0,5,0.05,30,200
84,45.26495723349206,115.01382121783267,3,150,10,500,10,0.0,1.0,5,0.05,30,200
85,44.82894429016547,114.20242110600424,3,150,10,500,10,0.0,1.0,5,0.05,30,200
86,44.47508909280216,113.65194122868401,3,150,10,500,10,0.0,1.0,5,0.05,30,200
87,45.61693102984296,113.08422685012697,3,150,10,500,10,0.0,1.0,5,0.05,30,200
88,46.961637547202166,112.43444306240902,3,150,10,500,10,0.0,1.0,5,0.05,30,200
89,45.28730486196327,114.24135112036905,3,150,10,500,10,0.0,1.0,5,0.05,30,200
90,46.96367649693299,114.14594484600433,3,150,10,500,10,0.0,1.0,5,0.05,30,200
91,46.90079895205896,114.59849749430437,3,150,10,500,10,0.0,1.0,5,0.05,30,200
92,47.48399684296747,115.70841042994924,3,150,10,500,10,0.0,1.0,5,0.05,30,200
93,48.09659432484126,114.8218839019147,3,150,10,500,10,0.0,1.0,5,0.05,30,200
94,46.084677883509634,114.31573060587996,3,150,10,500,10,0.0,1.0,5,0.05,30,200
95,48.376122888205394,113.0546471990544,3,150,10,500,10,0.0,1.0,5,0.05,30,200
96,47.895554197984815,112.78764697668466,3,150,10,500,10,0.0,1.0,5,0.05,30,200
97,47.26474517188792,113.05099124597531,3,150,10,500,10,0.0,1.0,5,0.05,30,200
98,47.608243132213516,113.99685574419205,3,150,10,500,10,0.0,1.0,5,0.05,30,200
99,48.73078154180614,113.0332484112014,3,150,10,500,10,0.0,1.0,5,0.05,30,200
100,50.98161445312191,114.09043554334067,3,150,10,500,10,0.0,1.0,5,0.05,30,200
101,48.3285005934277,113.66047088079053,3,150,10,500,10,0.0,1.0,5,0.05,30,200
102,47.88299632389083,113.24359104471543,3,150,10,500,10,0.0,1.0,5,0.05,30,200
103,49.17824500539616,111.73753249362946,3,150,10,500,10,0.0,1.0,5,0.05,30,200
104,47.761352971109154,113.7134203989133,3,150,10,500,10,0.0,1.0,5,0.05,30,200
105,49.50019022103772,112.44166212407535,3,150,10,500,10,0.0,1.0,5,0.05,30,200
106,49.61584442121483,112.75989630993048,3,150,10,500,10,0.0,1.0,5,0.05,30,200
107,49.376619066970015,114.2114694787617,3,150,10,500,10,0.0,1.0,5,0.05,30,200
108,50.495004864224185,112.97323286634645,3,150,10,500,10,0.0,1.0,5,0.05,30,200
109,50.820114454493975,111.97024333345267,3,150,10,500,10,0.0,1.0,5,0.05,30,200
110,51.09221005022338,113.28478613423981,3,150,10,500,10,0.0,1.0,5,0.05,30,200
111,48.962539285970436,112.37287160830674,3,150,10,500,10,0.0,1.0,5,0.05,30,200
112,51.2613629906451,113.23115727970051,3,150,10,500,10,0.0,1.0,5,0.05,30,200
113,48.86355700622632,113.56567403769917,3,150,10,500,10,0.0,1.0,5,0.05,30,200
114,50.10944417361333,113.32409812519171,3,150,10,500,10,0.0,1.0,5,0.05,30,200
115,49.91505696347499,111.81623092017823,3,150,10,500,10,0.0,1.0,5,0.05,30,200
116,49.388894152698064,112.08236508286431,3,150,10,500,10,0.0,1.0,5,0.05,30,200
117,50.2234178691138,114.44263084919328,3,150,10,500,10,0.0,1.0,5,0.05,30,200
118,49.49254087571936,112.01936239687423,3,150,10,500,10,0.0,1.0,5,0.05,30,200
119,51.30767126501119,111.96158459316281,3,150,10,500,10,0.0,1.0,5,0.05,30,200
120,50.46753560146125,113.25543955140728,3,150,10,500,10,0.0,1.0,5,0.05,30,200
121,51.234471955674096,112.95124303427627,3,150,10,500,10,0.0,1.0,5,0.05,30,200
122,50.54950518774392,112.91405178355829,3,150,10,500,10,0.0,1.0,5,0.05,30,200
123,52.10865082083031,113.59199929611677,3,150,10,500,10,0.0,1.0,5,0.05,30,200
124,51.25572856472707,113.17648330903603,3,150,10,500,10,0.0,1.0,5,0.05,30,200
125,50.32844211887507,113.20703791537201,3,150,10,500,10,0.0,1.0,5,0.05,30,200
126,50.88560499143534,113.90021318924562,3,150,10,500,10,0.0,1.0,5,0.05,30,200
127,50.4864265727022,111.09450339124383,3,150,10,500,10,0.0,1.0,5,0.05,30,200
128,51.51644306736604,113.3302496307294,3,150,10,500,10,0.0,1.0,5,0.05,30,200
129,52.056363186369225,112.82943038781377,3,150,10,500,10,0.0,1.0,5,0.05,30,200
130,50.42138595817831,112.9907419239315,3,150,10,500,10,0.0,1.0,5,0.05,30,200
131,50.78543737618135,113.149656479768,3,150,10,500,10,0.0,1.0,5,0.05,30,200
132,51.46363168896,112.56472429085422,3,150,10,500,10,0.0,1.0,5,0.05,30,200
133,51.88351668831697,112.64827030234422,3,150,10,500,10,0.0,1.0,5,0.05,30,200
134,52.408823426842474,112.61846280479331,3,150,10,500,10,0.0,1.0,5,0.05,30,200
135,53.18819252884027,113.6696038005599,3,150,10,500,10,0.0,1.0,5,0.05,30,200
136,52.70144597935408,112.72435992807667,3,150,10,500,10,0.0,1.0,5,0.05,30,200
137,52.32972134643778,113.69045966064958,3,150,10,500,10,0.0,1.0,5,0.05,30,200
138,51.919172673058455,112.13808734394362,3,150,10,500,10,0.0,1.0,5,0.05,30,200
139,52.4051531966706,111.6307066710986,3,150,10,500,10,0.0,1.0,5,0.05,30,200
140,52.35172109483848,113.85412279022167,3,150,10,500,10,0.0,1.0,5,0.05,30,200
141,52.90229650876965,113.93798299671774,3,150,10,500,10,0.0,1.0,5,0.05,30,200
142,51.098938133232565,113.45350232122483,3,150,10,500,10,0.0,1.0,5,0.05,30,200
143,51.82606728790107,112.96026993912409,3,150,10,500,10,0.0,1.0,5,0.05,30,200
144,51.736691889635615,112.87113652871376,3,150,10,500,10,0.0,1.0,5,0.05,30,200
145,50.46169821699854,113.65337573558594,3,150,10,500,10,0.0,1.0,5,0.05,30,200
146,51.1955578589954,113.03568882834833,3,150,10,500,10,0.0,1.0,5,0.05,30,200
147,52.252983575915316,113.05521912438917,3,150,10,500,10,0.0,1.0,5,0.05,30,200
148,52.15371961016703,113.0051754534506,3,150,10,500,10,0.0,1.0,5,0.05,30,200
149,52.27450067759919,112.716734957247,3,150,10,500,10,0.0,1.0,5,0.05,30,200
150,53.45436097589368,112.74938512719005,3,150,10,500,10,0.0,1.0,5,0.05,30,200
151,52.35023256694571,113.87230095247843,3,150,10,500,10,0.0,1.0,5,0.05,30,200
152,52.88301362186715,113.35761821833779,3,150,10,500,10,0.0,1.0,5,0.05,30,200
153,52.991250651445604,112.54349782658511,3,150,10,500,10,0.0,1.0,5,0.05,30,200
154,54.62868469237265,114.4847086574804,3,150,10,500,10,0.0,1.0,5,0.05,30,200
155,52.10236273098244,112.12545940972522,3,150,10,500,10,0.0,1.0,5,0.05,30,200
156,52.96721950042523,111.59247289170605,3,150,10,500,10,0.0,1.0,5,0.05,30,200
157,51.953525858517956,113.4999619712191,3,150,10,500,10,0.0,1.0,5,0.05,30,200
158,54.47701223989413,112.22051835094972,3,150,10,500,10,0.0,1.0,5,0.05,30,200
159,53.365871140631604,112.19899654488881,3,150,10,500,10,0.0,1.0,5,0.05,30,200
160,54.48273309626357,112.4343640351778,3,150,10,500,10,0.0,1.0,5,0.05,30,200
161,53.31926543265071,113.71030695129652,3,150,10,500,10,0.0,1.0,5,0.05,30,200
162,53.80133232932508,112.93054179827716,3,150,10,500,10,0.0,1.0,5,0.05,30,200
163,54.205031762045536,112.7213969291694,3,150,10,500,10,0.0,1.0,5,0.05,30,200
164,52.260060458221126,112.24858313921031,3,150,10,500,10,0.0,1.0,5,0.05,30,200
165,52.68482687112393,109.46793886052365,3,150,10,500,10,0.0,1.0,5,0.05,30,200
166,51.91124895762386,111.30460809780607,3,150,10,500,10,0.0,1.0,5,0.05,30,200
167,53.35103883954522,112.79203327741523,3,150,10,500,10,0.0,1.0,5,0.05,30,200
168,51.84379151574119,112.05473992909351,3,150,10,500,10,0.0,1.0,5,0.05,30,200
169,54.02072435261956,113.3481253741457,3,150,10,500,10,0.0,1.0,5,0.05,30,200
170,52.00854643712408,110.35755655521811,3,150,10,500,10,0.0,1.0,5,0.05,30,200
171,53.932246643354596,112.24162560378733,3,150,10,500,10,0.0,1.0,5,0.05,30,200
172,53.47314378358397,111.98568146804006,3,150,10,500,10,0.0,1.0,5,0.05,30,200
173,53.15416102356,111.42689869340434,3,150,10,500,10,0.0,1.0,5,0.05,30,200
174,53.74010277995673,111.99267578020817,3,150,10,500,10,0.0,1.0,5,0.05,30,200
175,53.35596728770172,113.511919110724,3,150,10,500,10,0.0,1.0,5,0.05,30,200
176,53.64316281411689,113.3853821870054,3,150,10,500,10,0.0,1.0,5,0.05,30,200
177,55.34816742527718,113.81567418199835,3,150,10,500,10,0.0,1.0,5,0.05,30,200
178,54.525448296667484,111.94503510271588,3,150,10,500,10,0.0,1.0,5,0.05,30,200
179,54.52812193299924,112.57248023868982,3,150,10,500,10,0.0,1.0,5,0.05,30,200
180,52.76820367446908,113.05755764417076,3,150,10,500,10,0.0,1.0,5,0.05,30,200
181,54.18582469768066,112.64021686406139,3,150,10,500,10,0.0,1.0,5,0.05,30,200
182,54.61202813356312,112.78922227538732,3,150,10,500,10,0.0,1.0,5,0.05,30,200
183,55.18908939738365,111.64516624585083,3,150,10,500,10,0.0,1.0,5,0.05,30,200
184,53.6288499925891,111.70061744523565,3,150,10,500,10,0.0,1.0,5,0.05,30,200
185,52.51567765391411,112.25530463324273,3,150,10,500,10,0.0,1.0,5,0.05,30,200
186,53.50080274456824,112.65011703042708,3,150,10,500,10,0.0,1.0,5,0.05,30,200
187,53.91890266156638,112.39677006263707,3,150,10,500,10,0.0,1.0,5,0.05,30,200
188,52.476965390163286,111.21798869277995,3,150,10,500,10,0.0,1.0,5,0.05,30,200
189,52.4514826354408,111.42925068474138,3,150,10,500,10,0.0,1.0,5,0.05,30,200
190,54.055582127148995,112.51274385582495,3,150,10,500,10,0.0,1.0,5,0.05,30,200
191,51.65108678242704,111.32887071619706,3,150,10,500,10,0.0,1.0,5,0.05,30,200
192,53.42261467709328,112.28145282993295,3,150,10,500,10,0.0,1.0,5,0.05,30,200
193,51.73860113571945,111.40622584179151,3,150,10,500,10,0.0,1.0,5,0.05,30,200
194,52.99847311086178,112.20639908083024,3,150,10,500,10,0.0,1.0,5,0.05,30,200
195,53.32698839946005,112.29902285300246,3,150,10,500,10,0.0,1.0,5,0.05,30,200
196,53.01329140266386,111.8608390839375,3,150,10,500,10,0.0,1.0,5,0.05,30,200
197,54.25097869301728,113.05900226761452,3,150,10,500,10,0.0,1.0,5,0.05,30,200
198,53.94881709146558,114.16164202884222,3,150,10,500,10,0.0,1.0,5,0.05,30,200
199,53.42293473368215,112.84538156064147,3,150,10,500,10,0.0,1.0,5,0.05,30,200
