iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.12485155214866,0.3085000216960907,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.32431713802119094,0.37654170393943787,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.36340470317130286,0.38025006651878357,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.5367027826917669,0.39670833945274353,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.1512622085865587,0.43500006198883057,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.2275363854908695,0.4282916784286499,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.10896057713155945,0.455500066280365,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.09604192711412907,0.4698333740234375,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.11601250451834251,0.46683335304260254,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.05585754674393684,0.4859166741371155,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.09949876034321885,0.48325008153915405,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.01667494171609481,0.5011667013168335,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.6666877762569735,0.4892084002494812,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.015959262770290177,0.505333423614502,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.015319801168516278,0.5076667070388794,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.03280971727023522,0.5060000419616699,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.010380095588819435,0.5140833854675293,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.01568501388343672,0.5126667022705078,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.010978928456703821,0.5147500038146973,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.05199558831130465,0.5109583735466003,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.009162588103208691,0.5166667699813843,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.007818059200265756,0.5199999809265137,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.0075626169370176894,0.5202500820159912,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.0070827747889173525,0.520541787147522,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.007475850288756192,0.5206667184829712,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.0067053683451376855,0.5225000977516174,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.006382542507102092,0.5225833654403687,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.006121126721457888,0.5234167575836182,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.005782508853978167,0.5238333940505981,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.005628913388742755,0.5230833888053894,24,3,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
