iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.0470559721191723,0.3082500100135803,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.2964102787276109,0.380249947309494,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.15858331136405468,0.4177083373069763,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.32410336658358574,0.4085416793823242,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.1845743217660735,0.43154165148735046,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.3285269131107877,0.4306667745113373,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.04364520808060964,0.4736250042915344,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.6821823236532509,0.4646667242050171,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.10453833674546331,0.4818750321865082,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.05339141011548539,0.4977916479110718,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.01828725445860376,0.5125000476837158,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.01990763994399458,0.515458345413208,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.013283275494662425,0.5196667909622192,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.015262336120940745,0.5240416526794434,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.010721231034646431,0.5261250138282776,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.03081188494494806,0.5257917046546936,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.00925085509273534,0.5344583988189697,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.009023257376005253,0.5362083911895752,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.008391009934712201,0.5394166707992554,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.007989142342315366,0.5407500863075256,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.022918743721675128,0.5055416822433472,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.025368336820974946,0.5080834627151489,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.013182045833673328,0.5121666789054871,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.013200052489992231,0.5156667232513428,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.011707726963019619,0.5140833854675293,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.009958802508966377,0.5158750414848328,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.008939576723302404,0.5197499990463257,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.009027507233743867,0.5208333730697632,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.011717361766689768,0.5186667442321777,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.00834592197012777,0.5223333835601807,24,3,500,1000,20,23,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
