iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.106873508542776,0.3022916615009308,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.45293536440779764,0.3645417094230652,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.35414683787773055,0.3829583525657654,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.4526216372226675,0.38600003719329834,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.18228792399168015,0.4375,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.3312200785924991,0.44850003719329834,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.16686869955932102,0.4635416269302368,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.05178910680115223,0.4860416352748871,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.11550891065659623,0.47841668128967285,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.06978637628102054,0.4927084147930145,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.03275373027039071,0.5070416927337646,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.017265558592043817,0.5155000686645508,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.09064376738388091,0.5099166631698608,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.02059200095633666,0.5191667079925537,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.011472801212221384,0.5288333892822266,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.030828502223206062,0.5019167065620422,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.019445929288243253,0.5040833950042725,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.01643373533928146,0.5080416798591614,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.08502623663904767,0.5064167380332947,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.03202827942247192,0.5099999904632568,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.011468619535056254,0.518791675567627,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.010391035854505995,0.5212084054946899,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.03007576771778986,0.5162916779518127,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.009416806065322211,0.5258333683013916,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.009231202653609216,0.5242500305175781,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.008226161143587282,0.5267916917800903,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.007973423053044826,0.5269584655761719,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.007659475338490059,0.5264167189598083,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.007329920442619671,0.5277084112167358,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.006767264276277274,0.530166745185852,24,3,500,1000,15,22,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
