iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
30,10.724406575361888,2.0305323600769043,45.46964645385742,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
31,10.559800597826639,2.0151267051696777,45.33588409423828,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
32,10.425052954355875,1.972561240196228,44.90635681152344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
33,10.298419030507405,1.9674304723739624,44.85999298095703,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
34,10.172362643877666,1.9692840576171875,44.89516830444336,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
35,10.019701263904572,1.947873830795288,44.70225143432617,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
36,9.91221920967102,1.9407877922058105,44.655086517333984,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
37,9.828275388081869,1.9386601448059082,44.66856002807617,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
38,9.760346650282543,1.9436206817626953,44.69541931152344,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
39,9.641468761761983,1.926849365234375,44.51996994018555,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
40,9.577966300646464,1.9160112142562866,44.436893463134766,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
41,9.481830259164175,1.8807308673858643,44.06783676147461,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
42,9.413900769551596,1.8549984693527222,43.81109619140625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
43,9.40883471528689,1.8615249395370483,43.89999008178711,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
44,9.325146193504333,1.8607501983642578,43.9109992980957,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
45,9.267918720245362,1.8771600723266602,44.116641998291016,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
46,9.211867377758026,1.8741103410720825,44.09173583984375,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
47,9.238963355223337,1.854835867881775,43.906063079833984,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
48,9.17984395980835,1.8928788900375366,44.254974365234375,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
49,9.108578203519185,1.8862909078598022,44.17469787597656,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
50,9.072516924540201,1.9062349796295166,44.32062530517578,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
51,8.99558745066325,1.908661127090454,44.32376480102539,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
52,8.957213827768962,1.8866584300994873,44.119449615478516,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
53,8.906857439676921,1.9023782014846802,44.27379608154297,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
54,8.85716156164805,1.8679838180541992,43.945152282714844,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
55,8.82847435593605,1.856005072593689,43.85408020019531,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
56,8.761079179445902,1.8692142963409424,44.01041793823242,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
57,8.722393598556518,1.8756600618362427,44.064361572265625,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
58,8.695384176572164,1.8890924453735352,44.234615325927734,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
59,8.666464634339015,1.8841437101364136,44.166500091552734,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
60,8.661235112349193,1.8800208568572998,44.12516784667969,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
61,8.655958628257116,1.8883755207061768,44.19648361206055,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
62,8.584556140502293,1.9040672779083252,44.36725616455078,3,150,10,500,10,5.0,0,10,False,0.01,,5,300,2
