iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,84.67832232157389,6.159283638000488,86.76347351074219,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
1,56.45740242004395,3.4254395961761475,59.37849044799805,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
2,42.11763235727946,2.020577907562256,45.29507064819336,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
3,34.92088738759359,1.2897495031356812,38.00440216064453,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
4,30.471549173990887,0.8545838594436646,33.575721740722656,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
5,28.78865816752116,0.6811307072639465,31.825471878051758,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
6,26.89230189005534,0.5013461112976074,30.05536460876465,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
7,25.90690895716349,0.39882972836494446,29.08696746826172,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
8,25.53201982498169,0.3527500331401825,28.679920196533203,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
9,25.12363493601481,0.3311609923839569,28.42793083190918,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
10,24.82587100346883,0.2910701334476471,27.93386459350586,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
11,24.609091154734294,0.2591097950935364,27.599567413330078,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
12,24.57966007868449,0.2663509249687195,27.641448974609375,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
13,24.246168931325276,0.23958994448184967,27.397689819335938,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
14,24.274363695780437,0.24861674010753632,27.490095138549805,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
15,24.009959290822348,0.22833701968193054,27.32202911376953,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
16,24.103025391896566,0.24132174253463745,27.389535903930664,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
17,24.512765216827393,0.2821437418460846,27.866228103637695,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
18,24.489284273783365,0.2666438817977905,27.700801849365234,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
19,24.47318634668986,0.2572394907474518,27.671924591064453,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
20,24.469886054992674,0.26543524861335754,27.70664405822754,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
21,24.43876600265503,0.24753127992153168,27.472347259521484,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
22,24.45382188796997,0.25043606758117676,27.528207778930664,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
23,24.387043100992837,0.24654856324195862,27.466230392456055,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
24,24.35056994756063,0.24430814385414124,27.45771598815918,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
