iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,86.18507316589356,6.2922515869140625,88.13716888427734,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
1,57.50864499409993,3.5310044288635254,60.53546905517578,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
2,42.87689114888509,2.0943920612335205,46.13252639770508,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
3,35.49863316853841,1.3599684238433838,38.75209045410156,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
4,30.61380554199219,0.8811784982681274,33.91154861450195,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
5,28.252440764109295,0.6392558217048645,31.47138023376465,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
6,26.92824124654134,0.48157256841659546,29.89788246154785,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
7,25.75974156697591,0.3720109760761261,28.775989532470703,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
8,25.554471321105957,0.3549303710460663,28.617712020874023,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
9,24.985736090342204,0.3019179105758667,28.064374923706055,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
10,24.964252688090006,0.29059967398643494,27.97127914428711,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
11,25.024090232849122,0.30442869663238525,28.196407318115234,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
12,24.48132688522339,0.2520909309387207,27.61191177368164,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
13,24.461898288726807,0.2587866187095642,27.671785354614258,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
14,24.226154600779214,0.23450513184070587,27.447486877441406,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
15,24.317485675811767,0.24607710540294647,27.569154739379883,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
16,24.27633572260539,0.23536980152130127,27.40859031677246,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
17,24.470395889282226,0.25700679421424866,27.607011795043945,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
18,24.669594968159995,0.27439478039741516,27.796506881713867,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
19,24.46176722208659,0.2513096332550049,27.58903694152832,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
20,24.603542982737224,0.2610848546028137,27.580007553100586,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
21,24.262335103352864,0.222720667719841,27.232276916503906,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
22,23.969653447469074,0.1883898675441742,26.929433822631836,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
23,24.227888558705647,0.22194796800613403,27.279146194458008,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
24,24.012796643575033,0.20963791012763977,27.15705680847168,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
25,24.319933490753172,0.24067644774913788,27.426328659057617,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
26,24.296411889394125,0.2353201061487198,27.396493911743164,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
27,24.284036617279053,0.23342768847942352,27.423795700073242,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
28,24.102749055226642,0.21841026842594147,27.2351016998291,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
29,24.28325517018636,0.23471277952194214,27.41010856628418,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
30,24.510559151967367,0.26850625872612,27.76367950439453,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
31,24.813228651682536,0.2847563624382019,27.935707092285156,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
32,24.40312557856242,0.24881742894649506,27.593181610107422,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
33,23.989262059529622,0.199344664812088,27.11026954650879,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
34,24.23692481994629,0.21348780393600464,27.237714767456055,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
35,24.275094655354817,0.23637662827968597,27.399320602416992,3,150,100,500,10,5.0,0,10,False,0.01,,5,300,2
