iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
41,0.3341441503850122,1.3048713207244873,13.819535255432129,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
42,0.31733206040846806,1.2803988456726074,13.585031509399414,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
43,0.31974321785072485,1.260028600692749,13.396925926208496,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
44,0.3155804016906768,1.2317876815795898,13.10841178894043,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
45,0.2942270581672589,1.2002395391464233,12.793939590454102,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
46,0.28868373363589245,1.1863306760787964,12.65524959564209,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
47,0.2879518869891763,1.1644036769866943,12.438984870910645,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
48,0.28335074237237373,1.144588828086853,12.245682716369629,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
49,0.2771589633108427,1.1143543720245361,11.950737953186035,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
50,0.2887641037876407,1.094101071357727,11.756446838378906,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
51,0.2769695159172018,1.0746288299560547,11.556646347045898,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
52,0.2643141244693349,1.0617775917053223,11.45099925994873,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
53,0.2737225203309208,1.0542243719100952,11.374550819396973,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
54,0.27300255063610773,1.0291211605072021,11.114249229431152,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
55,0.26181532596548396,1.0281528234481812,11.102446556091309,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
56,0.2592714747724434,1.0134278535842896,10.95085334777832,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
57,0.2433022513675193,1.0092898607254028,10.918539047241211,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
58,0.23258297345911463,0.9825412034988403,10.66452693939209,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
59,0.233428204121689,0.9652702808380127,10.48880386352539,3,150,5,500,10,1.0,0,10,False,0.01,,5,300,2
