iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,76.23020380020142,8.763684272766113,87.12850189208984,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
1,60.6736969312032,7.630547046661377,75.78044128417969,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
2,48.654731566111245,6.727838516235352,66.78855895996094,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
3,39.45799049377442,5.943613052368164,58.922611236572266,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
4,32.12988231658935,5.268191814422607,52.191078186035156,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
5,26.499720061620078,4.703265190124512,46.59356689453125,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
6,22.064842675526936,4.222486972808838,41.83060836791992,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
7,18.536614141464234,3.829010009765625,37.931880950927734,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
8,15.621861756642659,3.459491014480591,34.26955032348633,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
9,13.277177058855692,3.124457359313965,30.944555282592773,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
10,11.257211874326071,2.8335206508636475,28.054821014404297,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
11,9.640186438560486,2.5751116275787354,25.508758544921875,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
12,8.2889515765508,2.3457093238830566,23.24349594116211,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
13,7.171851348876953,2.1405956745147705,21.22704315185547,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
14,6.348634154001871,1.9724675416946411,19.586612701416016,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
15,5.575058314800263,1.8065130710601807,17.951520919799805,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
16,4.996120683352152,1.66830575466156,16.611202239990234,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
17,4.496380126078924,1.5440312623977661,15.401265144348145,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
18,4.096156959533691,1.4413516521453857,14.393182754516602,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
19,3.7664512554804483,1.3393796682357788,13.403297424316406,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
20,3.41016370455424,1.2469077110290527,12.503753662109375,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
21,3.077426976164182,1.1546517610549927,11.614867210388184,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
22,2.8203905829787255,1.088140845298767,10.973604202270508,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
23,2.5328404566645624,1.0086662769317627,10.207496643066406,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
24,2.344983069598675,0.9426838159561157,9.578272819519043,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
25,2.1585866466661296,0.8931378126144409,9.11171817779541,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
26,1.9723464486996334,0.8394007682800293,8.592416763305664,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
27,1.8603668229778607,0.7903899550437927,8.115530967712402,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
28,1.7912670917312303,0.752275288105011,7.747340679168701,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
29,1.678726312716802,0.7111233472824097,7.358973979949951,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
30,1.547237627953291,0.6625681519508362,6.903662204742432,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
31,1.4807893654704094,0.6348798274993896,6.6412034034729,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
32,1.424013970196247,0.6069267988204956,6.378678798675537,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
33,1.3460849207639694,0.5725433230400085,6.052425861358643,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
34,1.2765812597175439,0.5414958000183105,5.753951072692871,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
35,1.2179143504301706,0.5129403471946716,5.482201099395752,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
36,1.1858849402268727,0.49619442224502563,5.318343639373779,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
37,1.1290091977020105,0.4748058319091797,5.122560977935791,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
38,1.0916991476217905,0.45265138149261475,4.900784492492676,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
39,1.0255908448497455,0.4288206696510315,4.683751583099365,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
40,1.0074969443182151,0.4220389723777771,4.617214202880859,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
41,0.9529884860416253,0.39637693762779236,4.375949859619141,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
42,0.9461898962159951,0.3822014331817627,4.24166202545166,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
43,0.9461838613450527,0.3717131018638611,4.148776531219482,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
44,0.929295427997907,0.3680126667022705,4.111531734466553,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
45,0.9359096000343561,0.36558037996292114,4.09849214553833,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
46,0.9079308408498764,0.3616821765899658,4.065905570983887,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
47,0.8983180771271387,0.35357680916786194,3.9891574382781982,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
48,0.8748579285542171,0.347907155752182,3.934027671813965,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
49,0.834906324048837,0.3305704593658447,3.7770955562591553,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
50,0.8260001928607623,0.3262255787849426,3.7401070594787598,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
51,0.8021362365285556,0.3163059949874878,3.642388105392456,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
52,0.7928569467862447,0.3103382885456085,3.5893001556396484,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
53,0.7997981231411299,0.3106893301010132,3.6015594005584717,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
54,0.7756403349339962,0.2976367175579071,3.473097324371338,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
55,0.7674718775351842,0.28848350048065186,3.380110263824463,3,150,10,500,10,0.1,0,10,False,0.01,,5,300,2
