iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.6453626056512196,0.3226250410079956,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
1,1.1398826837539673,0.38545840978622437,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
2,0.9157063066959381,0.40020835399627686,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
3,0.711176318426927,0.4175834059715271,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
4,0.578972400786976,0.4181666970252991,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
5,0.45610513413945836,0.4258749485015869,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
6,0.3540450612393518,0.4376250207424164,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
7,0.2904409960222741,0.4411666989326477,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
8,0.2673907232626031,0.4364166855812073,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
9,0.1875662199842433,0.4424583613872528,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
10,0.1626639811632534,0.44187504053115845,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
11,0.13300597690977156,0.4441250264644623,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
12,0.10192269424442202,0.44545838236808777,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
13,0.0789482996527416,0.4477916955947876,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
14,0.06934703089063987,0.44712504744529724,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
15,0.057341302027149745,0.4487083852291107,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
16,0.04597547242883593,0.4482916593551636,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
17,0.03859695157734677,0.4499583840370178,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
18,0.03613575984491035,0.44870835542678833,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
19,0.032865442927383505,0.44720837473869324,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
20,0.02546668900564934,0.4507083296775818,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
21,0.022301003055569407,0.4499583840370178,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
22,0.019453747304699693,0.44991669058799744,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
23,0.01691754751179057,0.45075005292892456,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
24,0.015201103563110033,0.45066672563552856,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
25,0.013825453284274166,0.4502083659172058,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
26,0.01844332812470384,0.4493750035762787,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
27,0.012340579899804046,0.4515000283718109,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
28,0.010776734605315141,0.4515417218208313,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
29,0.009741933705906073,0.45129168033599854,24,8,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,8,,30,10
