iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
26,1.0910020779073237,0.31554949283599854,3.8858985900878906,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
27,1.1264469436059394,0.32839536666870117,3.9985597133636475,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
28,0.9877771645784378,0.30126968026161194,3.737062692642212,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
29,0.9681664690872034,0.277696430683136,3.5122575759887695,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
30,0.9949455615878106,0.2618281841278076,3.36051082611084,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
31,1.0056992476185163,0.2596915066242218,3.3517491817474365,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
32,0.9889089918136597,0.25531625747680664,3.2997846603393555,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
33,0.9661170415083568,0.25338226556777954,3.282780885696411,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
34,1.0433815807600817,0.2506120502948761,3.2574515342712402,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
35,0.9958216750621796,0.25058436393737793,3.2746026515960693,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
36,1.0422481187184651,0.24830760061740875,3.2446296215057373,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
37,1.181312610556682,0.2751700282096863,3.5253543853759766,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
38,1.1043627051015694,0.2811884582042694,3.5870935916900635,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
39,1.162107180953026,0.2883906662464142,3.6677746772766113,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
40,0.9861773565908273,0.2554610073566437,3.3244569301605225,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
41,0.9837057687838873,0.24403516948223114,3.2146365642547607,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
42,0.9219177245597044,0.23212161660194397,3.101492166519165,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
43,0.9315495263040066,0.23519064486026764,3.151456594467163,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
44,0.9084715961913268,0.22245381772518158,3.007551908493042,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
45,0.9547477155427138,0.22219625115394592,2.9948222637176514,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
46,1.0282573107878368,0.23474112153053284,3.1070473194122314,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
47,0.9514185798664888,0.22977028787136078,3.050630807876587,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
48,1.1019483061879873,0.24113276600837708,3.1815996170043945,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
49,1.132842068374157,0.2282712310552597,3.0588018894195557,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
50,0.9430099947750569,0.19793154299259186,2.7562103271484375,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
51,0.9859442956248919,0.207124263048172,2.8609535694122314,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
52,0.9839901715020338,0.21022523939609528,2.890305757522583,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
53,1.0231339914600055,0.2024349570274353,2.799013614654541,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
54,1.0479301931460698,0.2256479412317276,3.03106951713562,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
55,1.03737597823143,0.21897584199905396,2.9654664993286133,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
56,1.029776860276858,0.2118331491947174,2.8985884189605713,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
57,1.0191794699430465,0.2219184935092926,2.9972078800201416,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
58,0.9522475961844127,0.20956602692604065,2.878190517425537,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
59,0.9512601195772489,0.20768138766288757,2.8607020378112793,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
60,1.0323648286859195,0.2017938494682312,2.7966041564941406,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
61,1.0519017368058363,0.21631930768489838,2.921826124191284,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
62,0.9625579774876436,0.20709936320781708,2.8314287662506104,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
63,0.9516994103292624,0.2043822854757309,2.8223016262054443,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
64,0.9521041544526816,0.19374001026153564,2.7156271934509277,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
65,0.9521097039679686,0.18568255007266998,2.632615327835083,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
66,0.9642429153372845,0.19524763524532318,2.732356071472168,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
67,0.9838751390079657,0.19179454445838928,2.7022500038146973,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
68,0.9821451909343402,0.20003452897071838,2.7681212425231934,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
69,0.9934762607514859,0.19958803057670593,2.7566380500793457,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
70,1.0453193645675978,0.20703889429569244,2.855785608291626,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
71,0.9365237206717332,0.1892135888338089,2.6782352924346924,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
72,0.9727814610302449,0.20535825192928314,2.8291091918945312,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
73,0.9414045671621959,0.20161260664463043,2.787309169769287,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
74,1.0526030288636685,0.2130860686302185,2.9142210483551025,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
75,1.027001458456119,0.20596157014369965,2.849419593811035,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
76,0.9670352576176325,0.1994509994983673,2.789855718612671,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
77,0.8959597274164359,0.18970739841461182,2.6844162940979004,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
78,1.0556941928714514,0.22079096734523773,2.993037700653076,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
79,1.0558323711156845,0.23240286111831665,3.109520435333252,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
80,0.9713291991750399,0.22033363580703735,2.9885571002960205,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
81,0.9323218673715988,0.20518742501735687,2.8451411724090576,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
82,0.9894575023154417,0.20758411288261414,2.8580610752105713,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
83,0.990558629433314,0.20608296990394592,2.8430535793304443,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
84,1.0323050142327945,0.2131686508655548,2.9176249504089355,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
85,0.9889306744684776,0.20681416988372803,2.856450080871582,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
86,0.9898609639704228,0.2096402794122696,2.904587745666504,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
87,1.006845329205195,0.21981246769428253,3.0034046173095703,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
88,0.9875618062416712,0.1963467001914978,2.7706494331359863,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
89,1.0908707492053509,0.22263525426387787,3.021799325942993,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
90,1.0770864289005597,0.22087730467319489,2.9961390495300293,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
91,0.9445708200832208,0.2076638787984848,2.8638057708740234,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
92,0.9814420479039351,0.20434962213039398,2.8365910053253174,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
93,1.0535301487147808,0.21797432005405426,2.9711906909942627,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
94,0.8924331072469552,0.1977289766073227,2.7693397998809814,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
95,0.8882501842081547,0.19116733968257904,2.7040510177612305,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
96,0.9038412243127822,0.1822202354669571,2.618764877319336,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
