iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,62.375885,79.88835144042969,8.045299530029297,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
1,41.53115,65.46432495117188,6.600189208984375,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
2,28.763899,55.23345947265625,5.575092792510986,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
3,20.688578,47.442100524902344,4.792039394378662,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
4,15.388291,41.49156188964844,4.19317626953125,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
5,11.743968,36.71194076538086,3.7103264331817627,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
6,9.175101,32.8021354675293,3.3135673999786377,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
7,7.322521,29.52748680114746,2.980783224105835,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
8,5.9562907,26.730588912963867,2.6958796977996826,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
9,4.916213,24.406131744384766,2.459063768386841,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
10,4.1164618,22.322080612182617,2.2464096546173096,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
11,3.4776018,20.54633140563965,2.064476490020752,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
12,2.9702203,18.93844223022461,1.8998775482177734,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
13,2.5580554,17.517776489257812,1.7536119222640991,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
14,2.2248807,16.241107940673828,1.6221104860305786,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
15,1.9484371,15.110954284667969,1.5053695440292358,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
16,1.7195078,14.090864181518555,1.3999502658843994,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
17,1.5239834,13.152156829833984,1.3028818368911743,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
18,1.3584094,12.320653915405273,1.2169853448867798,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
19,1.2189604,11.565099716186523,1.1384340524673462,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
20,1.0978283,10.841631889343262,1.063865303993225,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
21,0.9935015,10.211380004882812,0.9983805418014526,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
22,0.90109134,9.627264976501465,0.9376227855682373,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
23,0.8209128,9.068679809570312,0.8797035813331604,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
24,0.7516805,8.572681427001953,0.8279939889907837,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
25,0.6906591,8.125343322753906,0.7809169888496399,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
26,0.6376075,7.703866481781006,0.737163245677948,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
27,0.5911793,7.331202030181885,0.6980662941932678,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
28,0.54963875,6.993834018707275,0.6624307632446289,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
29,0.5128064,6.671695709228516,0.6284359693527222,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
30,0.47879136,6.3805623054504395,0.5982221364974976,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
31,0.4503807,6.109490871429443,0.5698157548904419,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
32,0.42431396,5.8599934577941895,0.5431472659111023,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
33,0.40165117,5.619075775146484,0.517767071723938,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
34,0.38110414,5.381052494049072,0.49255701899528503,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
35,0.36233896,5.170501232147217,0.47015559673309326,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
36,0.34476313,4.97937536239624,0.4496864974498749,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
37,0.32883555,4.82084846496582,0.4326499402523041,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
38,0.31472528,4.6525397300720215,0.4147593677043915,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
39,0.30148932,4.503252029418945,0.39877089858055115,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
40,0.2899974,4.35310173034668,0.38264644145965576,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
41,0.27938786,4.232790946960449,0.36979439854621887,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
42,0.26963297,4.114732265472412,0.3572055995464325,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
43,0.2605425,3.9964253902435303,0.34437885880470276,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
44,0.2522486,3.8932909965515137,0.3331145942211151,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
45,0.24497378,3.7915849685668945,0.32221508026123047,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
46,0.23817584,3.689913034439087,0.3113783299922943,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
47,0.23191589,3.6136837005615234,0.3029139041900635,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
48,0.2257409,3.537116289138794,0.2947905659675598,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
49,0.22060074,3.455901861190796,0.2860028147697449,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
50,0.21552762,3.3813211917877197,0.27777421474456787,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
51,0.21076472,3.3149163722991943,0.27058646082878113,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
52,0.20646273,3.2587499618530273,0.2643657624721527,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
53,0.2023488,3.197054624557495,0.2575962543487549,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
54,0.19864213,3.146528959274292,0.2519818842411041,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
55,0.19509682,3.0938913822174072,0.24616701900959015,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
56,0.19165,3.044703960418701,0.24069127440452576,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
57,0.18872228,3.0022895336151123,0.23593488335609436,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
58,0.18574148,2.9649126529693604,0.23175041377544403,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
59,0.18286783,2.9289026260375977,0.2278027981519699,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
60,0.18039307,2.891547679901123,0.22357015311717987,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
61,0.17814557,2.8467164039611816,0.21869823336601257,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
62,0.17586489,2.815342664718628,0.2152233123779297,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
63,0.17379685,2.7890982627868652,0.21222218871116638,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
64,0.17192078,2.7591640949249268,0.20877215266227722,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
65,0.16984244,2.733464479446411,0.20579089224338531,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
