iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,84.26501,91.99901580810547,9.252120018005371,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
1,72.7954,83.76130676269531,8.428839683532715,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
2,63.01495,76.63011169433594,7.717373847961426,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
3,54.65049,70.25946807861328,7.080687046051025,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
4,47.54246,64.52875518798828,6.506412982940674,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
5,41.48998,59.42837905883789,5.994657039642334,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
6,36.233284,54.639442443847656,5.516724586486816,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
7,31.716627,50.51648712158203,5.102685928344727,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
8,27.890211,46.82052993774414,4.731758117675781,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
9,24.58814,43.41349411010742,4.38923978805542,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
10,21.711357,40.35538864135742,4.082342624664307,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
11,19.20266,37.5380973815918,3.797800302505493,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
12,17.030436,34.951168060302734,3.5366861820220947,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
13,15.125684,32.58169174194336,3.2977144718170166,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
14,13.475809,30.46715545654297,3.08420729637146,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
15,12.022334,28.45738983154297,2.8802385330200195,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
16,10.769306,26.641157150268555,2.696563243865967,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
17,9.6565,24.970069885253906,2.5272443294525146,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
18,8.667058,23.3881778717041,2.366875410079956,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
19,7.788451,21.94228172302246,2.219285249710083,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
20,7.0138793,20.581714630126953,2.0806946754455566,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
21,6.3412633,19.302637100219727,1.9497653245925903,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
22,5.7428346,18.15021514892578,1.8315998315811157,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
23,5.209193,17.080142974853516,1.7222248315811157,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
24,4.7327385,16.078983306884766,1.6196119785308838,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
25,4.3062053,15.161282539367676,1.5251790285110474,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
26,3.9247875,14.27446460723877,1.4344966411590576,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
27,3.581928,13.487133979797363,1.353596806526184,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
28,3.2743998,12.715930938720703,1.2739999294281006,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
29,3.0017211,12.01709270477295,1.2013012170791626,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
30,2.7570772,11.40439224243164,1.137797474861145,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
31,2.53352,10.796256065368652,1.074729084968567,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
32,2.3387866,10.252584457397461,1.0180079936981201,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
33,2.1610932,9.724178314208984,0.9631279706954956,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
34,1.9973674,9.22248363494873,0.9108763933181763,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
35,1.8481921,8.762388229370117,0.8627030849456787,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
36,1.7160786,8.344694137573242,0.8186932802200317,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
37,1.5939907,7.926822185516357,0.77496737241745,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
38,1.4838115,7.527300834655762,0.7328559756278992,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
39,1.385165,7.172659873962402,0.6957306265830994,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
40,1.2944895,6.8164262771606445,0.6581078767776489,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
41,1.2125214,6.491347789764404,0.623876690864563,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
42,1.1377796,6.188762187957764,0.5917696356773376,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
43,1.0687895,5.930698394775391,0.5645502209663391,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
44,1.0073807,5.667183876037598,0.5363593101501465,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
45,0.95025307,5.418980598449707,0.5099281668663025,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
46,0.8977825,5.191740036010742,0.4857715964317322,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
47,0.849539,4.986093997955322,0.4636017382144928,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
48,0.80600655,4.775306224822998,0.4411042332649231,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
49,0.76496845,4.581505298614502,0.4203859567642212,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
50,0.7272003,4.391847133636475,0.40020498633384705,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
51,0.6936804,4.248478889465332,0.38427734375,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
52,0.6618504,4.094412326812744,0.3677707612514496,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
53,0.6332656,3.95988130569458,0.3531440794467926,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
54,0.60684425,3.8336894512176514,0.3393594026565552,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
55,0.582039,3.714566230773926,0.32638394832611084,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
56,0.55880606,3.580143690109253,0.3118218779563904,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
57,0.5367881,3.4690377712249756,0.299752414226532,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
58,0.5161945,3.378037929534912,0.28961074352264404,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
59,0.49663645,3.279628276824951,0.27878063917160034,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
60,0.4791393,3.1916003227233887,0.26900553703308105,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
61,0.46260792,3.0968246459960938,0.2585934102535248,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
62,0.44798163,3.0139713287353516,0.24938736855983734,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
63,0.43442214,2.9332728385925293,0.24044378101825714,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
64,0.42144793,2.8757517337799072,0.23394231498241425,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
65,0.40972552,2.8144257068634033,0.2271900773048401,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
66,0.39862204,2.745527505874634,0.21960456669330597,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
67,0.38809437,2.679039239883423,0.21217365562915802,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
68,0.37859598,2.6288692951202393,0.20657874643802643,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
69,0.36922395,2.586418628692627,0.201531320810318,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
70,0.36103874,2.532522439956665,0.1955317109823227,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
71,0.35308093,2.483436346054077,0.19009412825107574,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
72,0.34567133,2.4298288822174072,0.18428495526313782,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
73,0.33857182,2.3880622386932373,0.17948956787586212,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
74,0.33215842,2.3551416397094727,0.17566803097724915,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
75,0.32600805,2.3069796562194824,0.17025312781333923,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
76,0.32012615,2.2755396366119385,0.1666172295808792,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
77,0.3144432,2.249697208404541,0.16350409388542175,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
78,0.30902812,2.221229076385498,0.16020582616329193,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
79,0.30386198,2.1978397369384766,0.15738384425640106,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
80,0.2989973,2.1802823543548584,0.15507349371910095,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
81,0.2944369,2.148002862930298,0.15132199227809906,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
82,0.29033434,2.1180083751678467,0.14792752265930176,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
83,0.28626508,2.0968997478485107,0.14545059204101562,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
84,0.28236637,2.0750839710235596,0.14286242425441742,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
85,0.27889118,2.052551746368408,0.1401677429676056,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
86,0.2756554,2.0336766242980957,0.1379021853208542,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
87,0.27233145,2.0191941261291504,0.13616982102394104,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
88,0.26921296,2.0004055500030518,0.13392263650894165,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
89,0.26645976,1.9839520454406738,0.131900355219841,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
90,0.2637965,1.9685112237930298,0.13010230660438538,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
91,0.26099893,1.951751947402954,0.12810850143432617,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
92,0.25862348,1.944602131843567,0.12714816629886627,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
93,0.25618982,1.9326332807540894,0.12564389407634735,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
94,0.2539983,1.9148616790771484,0.1234758049249649,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
95,0.25191018,1.8982577323913574,0.1215759813785553,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
96,0.24979587,1.8980882167816162,0.12148090451955795,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
97,0.24761643,1.8962488174438477,0.12112589925527573,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
98,0.24524465,1.8838341236114502,0.11980380117893219,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
99,0.24323031,1.8747984170913696,0.11867371946573257,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
100,0.24137996,1.8627748489379883,0.11712528765201569,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
101,0.2396672,1.862168788909912,0.11674993485212326,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
102,0.23800656,1.8558807373046875,0.11593302339315414,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
103,0.2362893,1.8442997932434082,0.11455396562814713,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
104,0.23482236,1.8423397541046143,0.11421172320842743,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
105,0.23348689,1.8265637159347534,0.1123327687382698,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
106,0.23210248,1.8235565423965454,0.11166368424892426,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
107,0.23107585,1.8130040168762207,0.11035145074129105,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
108,0.22974864,1.8068500757217407,0.10948887467384338,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
109,0.22854568,1.794559121131897,0.10802565515041351,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
