iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,72.19836,85.61225891113281,8.614877700805664,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
1,54.249752,73.41370391845703,7.394978046417236,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
2,41.41401,63.87333297729492,6.440132141113281,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
3,32.132263,56.224578857421875,5.673895359039307,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
4,25.274933,49.95512390136719,5.042667865753174,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
5,20.204134,44.77203369140625,4.520745754241943,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
6,16.32233,40.296844482421875,4.070207595825195,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
7,13.357172,36.609336853027344,3.6975066661834717,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
8,11.0705185,33.403141021728516,3.3737456798553467,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
9,9.270176,30.5480899810791,3.085230827331543,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
10,7.8198647,28.07622718811035,2.835219383239746,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
11,6.6493382,25.90715789794922,2.6138579845428467,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
12,5.697159,23.90934181213379,2.41039776802063,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
13,4.9210544,22.14061164855957,2.230009078979492,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
14,4.282655,20.54627227783203,2.0672826766967773,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
15,3.739928,19.085891723632812,1.9174484014511108,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
16,3.2888432,17.77569007873535,1.7830908298492432,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
17,2.902869,16.601381301879883,1.6621289253234863,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
18,2.573623,15.52133846282959,1.5509213209152222,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
19,2.293927,14.540082931518555,1.4497417211532593,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
20,2.0518763,13.622303009033203,1.3553506135940552,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
21,1.845691,12.733101844787598,1.26346755027771,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
22,1.6663133,11.977982521057129,1.184949517250061,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
23,1.5099249,11.244003295898438,1.1090973615646362,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
24,1.3727641,10.585468292236328,1.0406676530838013,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
25,1.2529626,9.981708526611328,0.9779444336891174,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
26,1.1457752,9.405080795288086,0.9181824922561646,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
27,1.0510637,8.892576217651367,0.8647980093955994,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
28,0.9665146,8.404596328735352,0.8140255212783813,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
29,0.89276624,7.941989898681641,0.765692412853241,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
30,0.8284901,7.546375274658203,0.7244585752487183,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
31,0.7682037,7.183027744293213,0.6863521337509155,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
32,0.7161205,6.845474720001221,0.650800883769989,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
33,0.6695636,6.527676105499268,0.6175103783607483,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
34,0.6267941,6.238699913024902,0.5871080756187439,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
35,0.58847374,5.9516801834106445,0.5569741725921631,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
36,0.5547997,5.698594093322754,0.5299212336540222,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
37,0.5235226,5.445061206817627,0.5031772255897522,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
38,0.49464387,5.206803321838379,0.4780295789241791,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
39,0.46902782,5.027978420257568,0.45885971188545227,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
40,0.44536704,4.849420070648193,0.4397350549697876,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
41,0.42421195,4.66062593460083,0.41949552297592163,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
42,0.4048921,4.494569778442383,0.40178149938583374,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
43,0.38739195,4.342355728149414,0.38565459847450256,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
44,0.37153152,4.195023059844971,0.369790256023407,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
45,0.35678053,4.067981243133545,0.35588592290878296,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
46,0.34309208,3.9341583251953125,0.34161195158958435,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
47,0.33111438,3.8143420219421387,0.3288215398788452,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
48,0.32036892,3.7025485038757324,0.3166351318359375,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
49,0.3098573,3.602341890335083,0.3057252764701843,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
50,0.3005006,3.506643056869507,0.2954390347003937,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
51,0.29157388,3.412006139755249,0.2850683331489563,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
52,0.2833834,3.3237740993499756,0.2755139172077179,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
53,0.27622685,3.263202667236328,0.2687267065048218,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
54,0.2693517,3.1876330375671387,0.26048725843429565,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
55,0.2626316,3.1246769428253174,0.2535417973995209,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
56,0.256506,3.053790330886841,0.2457517832517624,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
57,0.25083998,3.00205659866333,0.23996824026107788,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
58,0.24525768,2.964594841003418,0.23542550206184387,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
59,0.24004339,2.909261703491211,0.22927172482013702,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
60,0.23558645,2.8554184436798096,0.22331050038337708,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
61,0.23098215,2.8167638778686523,0.21891027688980103,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
62,0.2269545,2.767742395401001,0.21358467638492584,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
63,0.22311707,2.721186876296997,0.20834217965602875,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
64,0.21956106,2.6965644359588623,0.20540757477283478,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
65,0.21626477,2.6580281257629395,0.2012200653553009,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
66,0.21318904,2.624378204345703,0.19753359258174896,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
67,0.2101921,2.59342360496521,0.194059357047081,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
68,0.2074829,2.559882164001465,0.19034886360168457,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
69,0.2049669,2.536367654800415,0.18766780197620392,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
70,0.20253408,2.5127646923065186,0.18497905135154724,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
71,0.20010114,2.4847118854522705,0.18188580870628357,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
72,0.19786805,2.464240074157715,0.1795072704553604,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
73,0.19580904,2.4371018409729004,0.1765172779560089,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
74,0.1938394,2.4111437797546387,0.1734841763973236,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
75,0.19203459,2.3869359493255615,0.1706731766462326,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
76,0.19034848,2.3710105419158936,0.16879339516162872,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
77,0.18865262,2.35023832321167,0.1663733422756195,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
78,0.18705511,2.327970504760742,0.16383805871009827,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
79,0.18558034,2.30560302734375,0.1613776683807373,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
80,0.18420362,2.2921314239501953,0.15969228744506836,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
81,0.18290037,2.275174617767334,0.15771768987178802,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
82,0.18157008,2.263275384902954,0.15636855363845825,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
83,0.18021761,2.2500956058502197,0.15479901432991028,3,150,10,500,10,0,0,10,False,0.01,30,1500,3
