iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.9834609776735306,0.26125001907348633,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.7760169456402461,0.3385416269302368,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.6262877732515335,0.3812083899974823,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.5109410832325618,0.40662503242492676,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.3875786066055298,0.4310000538825989,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.2968360930681229,0.44720837473869324,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.2176279971996944,0.45875000953674316,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.1408868705232937,0.47095832228660583,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.0623543908198674,0.48095840215682983,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,0.9927144423127174,0.4912083148956299,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.942818875114123,0.49920833110809326,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.8976501325766245,0.5011667609214783,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.8578928882877032,0.50516676902771,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.8209322641293207,0.5075833797454834,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.7832647090156873,0.5111250877380371,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.7517812599738439,0.5121250748634338,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.7152969787518183,0.5155417919158936,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.6779137924313545,0.517541766166687,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.6417057365179062,0.5180833339691162,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.6163501416643461,0.5208333730697632,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.5858487586180369,0.5234166383743286,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.5580489188432693,0.5235834121704102,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.5428028590977192,0.5242500901222229,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.5080882708231608,0.5267499685287476,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.47901904831329983,0.5272083878517151,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.46061694622039795,0.5276250243186951,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.43714795758326846,0.5281667709350586,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.4178287287553151,0.5282917022705078,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.3962861696879069,0.5302500128746033,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.37962863345940906,0.5290833711624146,24,4,500,1000,0.0,9,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
