iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.9130178640286128,0.2969166934490204,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.6887303193410237,0.36374998092651367,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.6242332607507706,0.3737083375453949,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.444543406367302,0.4187500476837158,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.45271834731102,0.40691667795181274,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.2834185908238094,0.4493333697319031,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.2142993609110515,0.4544166922569275,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.1263886640469234,0.47224995493888855,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.0490008716781933,0.48341673612594604,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.0200893754760425,0.4828750491142273,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.9394957050681114,0.49812501668930054,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.9032120953003565,0.499416708946228,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.8639866709709167,0.5022083520889282,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.8278005023797353,0.5034167170524597,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.7802694241205851,0.5091250538825989,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.744417130947113,0.5108333826065063,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.7106013968586922,0.5139166712760925,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.6787535200516382,0.5149999856948853,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.6409086758891741,0.5200001001358032,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.6135548278689384,0.5195417404174805,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.5908576572934786,0.5216667652130127,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.5614193553725878,0.5225000977516174,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.5362456676860651,0.5247916579246521,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.5121075933178266,0.5238751173019409,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.48405860116084415,0.5274583101272583,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.46242374926805496,0.5274584293365479,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.4423085153102875,0.5289166569709778,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.4177648400266965,0.5296667218208313,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.3976060052712758,0.5288749933242798,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.379108394185702,0.5298750400543213,24,4,500,1000,0.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
