iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.7941902875900269,0.24899840354919434,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
1,1.4207501063744228,0.32411861419677734,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
2,1.184810568888982,0.3871194124221802,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
3,1.0295457740624745,0.41356176137924194,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
4,0.9799279322226843,0.4324920177459717,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
5,0.7220235715309778,0.4780648946762085,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
6,0.8451496747632822,0.4787660539150238,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
7,0.7644415330141783,0.4854767918586731,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
8,0.7718175960083803,0.49909859895706177,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
9,0.5515938450892767,0.5263422131538391,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
10,0.4840763173997402,0.5400640964508057,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
11,0.46700457980235416,0.553786039352417,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
12,0.2977558911467592,0.5732171535491943,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
13,0.5287636561940113,0.5530849695205688,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
14,0.3152516956130664,0.5860376954078674,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
15,0.24043743684887886,0.5862380266189575,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
16,0.19712979719042778,0.6055689454078674,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
17,0.11083525217448671,0.6241987943649292,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
18,0.09794028537968795,0.627403974533081,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
19,0.09166186830649774,0.6314103603363037,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
20,0.09705231214563052,0.6386218070983887,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
21,0.06120618603502711,0.6464343667030334,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
22,0.06037293157229821,0.6444311141967773,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
23,0.08297106057095031,0.6487380266189575,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
24,0.07986947079189122,0.6450321078300476,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
25,0.03893229062668979,0.6572515964508057,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
26,0.044330208795145154,0.6588542461395264,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
27,0.03623310934441785,0.6600561141967773,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
28,0.029260139834756654,0.6603565812110901,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
29,0.028215577049801748,0.6627604365348816,24,1,500,1000,0.0,3,"(3, 32, 32)",10,0.03,0.99,30,10,1.0
