iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
61,1.5484552060564358,0.8114371299743652,7.752938747406006,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
62,1.5705649057030677,0.803426206111908,7.728528022766113,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
63,1.5703455459078153,0.787075936794281,7.667208671569824,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
64,1.5830619716644287,0.7890350818634033,7.69598913192749,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
65,1.5595724590619404,0.7871634364128113,7.6836442947387695,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
66,1.5884184440970421,0.7923694252967834,7.696367263793945,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
67,1.590805609424909,0.7903121709823608,7.742292881011963,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
68,1.5657754631837209,0.787735641002655,7.751002788543701,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
69,1.5564976591865223,0.7742950916290283,7.597981929779053,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
70,1.552003650565942,0.7974526882171631,7.61981725692749,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
71,1.588699117700259,0.8082548379898071,7.671669960021973,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
72,1.574720148742199,0.7967522740364075,7.666426181793213,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
73,1.5719829678535462,0.8016039729118347,7.6729655265808105,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
74,1.575441504319509,0.8050244450569153,7.620270252227783,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
75,1.6043185204267503,0.8040914535522461,7.673286437988281,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
76,1.577779835263888,0.8046284317970276,7.614005088806152,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
77,1.5715777360399563,0.8035032749176025,7.555505752563477,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
78,1.5364668415983518,0.8146820068359375,7.507282733917236,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
79,1.5083799969156584,0.8155502676963806,7.4598283767700195,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
80,1.5090247243642807,0.8050285577774048,7.385598182678223,3,150,10,500,10,0.0,1.0,False,10,False,0.01,,5,300,2
