iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,1.1370388269424438,0.41466349363327026,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
1,0.6739756191770235,0.45893436670303345,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
2,0.44853381626307964,0.48167070746421814,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
3,0.31346124907334644,0.49479174613952637,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
4,0.17362764539817968,0.5081130266189575,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
5,0.18347638472914696,0.5205328464508057,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
6,0.1627226936010023,0.5242387652397156,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
7,0.10781270909744005,0.5273438692092896,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
8,0.14364869970207414,0.5279447436332703,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
9,0.08756007882766426,0.5472757816314697,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
10,0.05751093259702126,0.5489784479141235,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
11,0.07127258596786608,0.5492789149284363,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
12,0.06604310043621808,0.5517829656600952,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
13,0.04651658380559335,0.5563902854919434,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
14,0.032744495469766356,0.561298131942749,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
15,0.02910720300860703,0.5617988705635071,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
16,0.04727573246539881,0.5568910837173462,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
17,0.02736905203588928,0.5620994567871094,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
18,0.019444275841427345,0.563101053237915,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
19,0.03210457376553677,0.5621995329856873,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
20,0.022866275064491976,0.5660057067871094,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
21,0.012074021273292601,0.5724158883094788,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
22,0.016691299475496635,0.5720152854919434,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
23,0.026005965647830937,0.572115421295166,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
24,0.01589115464594215,0.5723157525062561,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
25,0.013615887282261005,0.5708133578300476,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
26,0.021820146115108702,0.5702123641967773,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
27,0.010651418570584307,0.5750200748443604,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
28,0.006427669082768261,0.5738182067871094,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
29,0.014013873233731525,0.5755208730697632,24,1,500,1000,2,"(3, 32, 32)",10,0.01,0.99,8,30,5
