iter,algo_S_3.0_mean,algo_S_3.0_upper,algo_S_3.0_lower,algo_S_5.0_mean,algo_S_5.0_upper,algo_S_5.0_lower,algo_S_8.0_mean,algo_S_8.0_upper,algo_S_8.0_lower,algo_S_10.0_mean,algo_S_10.0_upper,algo_S_10.0_lower
0,8.816598033905029,8.82976769694343,8.803428370866628,8.647605514526367,8.665341561900243,8.62986946715249,8.5339430809021,8.541787513897242,8.526098647906958,8.463043022155762,8.47263747454227,8.453448569769256
1,7.830811023712158,7.847994299413921,7.813627748010395,7.529592895507813,7.5467953403094405,7.512390450706185,7.317001056671143,7.323825980875794,7.310176132466491,7.2122574806213375,7.222339520659081,7.202175440583594
2,7.016819858551026,7.0319163015824095,7.001723415519642,6.606155204772949,6.623622376180163,6.588688033365735,6.325603246688843,6.333262770111529,6.317943723266157,6.187558555603028,6.2000419981125505,6.175075113093505
3,6.314595365524292,6.328524417007515,6.30066631404107,5.813579177856445,5.830506200681765,5.796652155031125,5.493182134628296,5.5007586244256625,5.48560564483093,5.354915618896484,5.365480779516166,5.344350458276803
4,5.720182609558106,5.741420863818527,5.698944355297685,5.157460260391235,5.1727272240879465,5.142193296694524,4.80723123550415,4.815729282283198,4.798733188725103,4.6632843017578125,4.67166302771374,4.654905575801885
5,5.214400434494019,5.237046829468435,5.191754039519603,4.609740114212036,4.626031903358299,4.593448325065773,4.22369613647461,4.231869243170236,4.215523029778984,4.068672037124633,4.076972995146555,4.060371079102712
6,4.7773473262786865,4.794540558188721,4.7601540943686524,4.132647323608398,4.1484428501332085,4.116851797083588,3.7348352432250977,3.7434625490915505,3.726207937358645,3.5738919258117674,3.584011325467212,3.5637725261563227
7,4.381240367889404,4.395764068603089,4.366716667175719,3.7137187719345093,3.7279501720760453,3.6994873717929733,3.3042542934417725,3.3148114749285242,3.2936971119550207,3.154279613494873,3.164833304033337,3.143725922956409
8,4.053121566772461,4.070850888411889,4.035392245133033,3.3601807355880737,3.3747653027852205,3.345596168390927,2.9407933235168455,2.9496516634468293,2.9319349835868618,2.791053032875061,2.8019654392822786,2.7801406264678437
9,3.761579895019531,3.7787943117926464,3.744365478246416,3.049012541770935,3.06243718347445,3.03558790006742,2.6250476360321047,2.634894922604857,2.6152003494593523,2.476435327529907,2.487447249858767,2.4654234052010473
10,3.503398561477661,3.520954519540694,3.485842603414628,2.774854302406311,2.7886585253706633,2.761050079441959,2.346414017677307,2.3559759395994107,2.3368520957552033,2.2014840126037596,2.210994879589557,2.191973145617962
11,3.28440146446228,3.3004358511961134,3.268367077728447,2.5347254514694213,2.547969497878121,2.5214814050607215,2.0992574453353883,2.107574816328484,2.0909400743422926,1.9620808124542237,1.9720189195778786,1.9521427053305689
12,3.072994017601013,3.0864568587895578,3.0595311764124684,2.315111994743347,2.328969399455993,2.3012545900307013,1.8902386784553529,1.8980503173001821,1.8824270396105236,1.7526707530021668,1.761138848460353,1.7442026575439806
13,2.8821934938430784,2.895383412506487,2.86900357517967,2.118866229057312,2.131769994831586,2.105962463283038,1.7019761443138122,1.7088116713088808,1.6951406173187435,1.5702750086784363,1.5785957337399406,1.561954283616932
14,2.725929856300354,2.7365773888117446,2.7152823237889634,1.9504711747169494,1.9628487495525972,1.9380935998813016,1.5360983967781068,1.5418406986239128,1.5303560949323007,1.4114928364753723,1.4200048290545226,1.402980843896222
